Community,id,type,country,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event,Suspect
0,300668979,organization,Unknown,6,4,0.8733457999999998,11,10,1,7,0,2,2,3,3,1,1,0,0,0,0,0
0,200640636,organization,Unknown,4,4,0.8907349124999999,9,8,1,7,0,0,1,4,1,1,1,0,0,0,0,0
0,52093e45-b873-4300-9612-8dfc291b1339,location,Unknown,4,5,0.9081954677777778,10,9,0,8,0,1,2,4,1,2,0,0,0,0,0,0
0,Kara Sullivan,person,Country_271835,2,0,0.93359613,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
0,3433,organization,Unknown,1,2,0.8555821033333334,3,3,0,1,2,0,2,0,0,1,0,0,0,0,0,0
0,f7a4114d-d1ca-44df-a7e0-c72e440671ba,location,Unknown,9,0,0.8911030555555555,10,9,3,0,5,1,1,5,2,1,0,0,0,0,0,0
0,âencounteredâ,Uncategorized,Unknown,4,0,0.8921082,5,4,0,0,0,4,1,1,1,0,1,0,0,0,0,0
0,77b46bc7-7e31-41a0-973c-e633011d21b0,location,Unknown,16,14,0.8729128103333333,30,30,6,12,5,7,3,10,5,6,3,1,1,0,1,0
0,Playa de la Felicidad Oyj Cargo,Uncategorized,Unknown,2,11,0.8853373499999999,14,13,1,2,1,9,1,3,4,1,3,0,1,0,0,0
0,653,organization,Unknown,4,0,0.8972226400000001,5,4,0,1,1,2,1,1,2,0,0,0,0,0,0,0
0,FinestSea Ltd. Corporation Enterprises,Uncategorized,Unknown,4,1,0.8688171060000001,6,5,0,1,3,1,2,2,1,0,0,0,0,0,0,0
0,314,organization,Unknown,1,0,0.8461635,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,551,organization,Unknown,10,0,0.8873289639999999,11,10,0,0,7,3,3,2,3,1,1,0,0,0,0,0
0,International-Convention,Uncategorized,Unknown,7,1,0.8769795137499999,8,8,2,4,2,0,2,3,2,0,1,0,0,0,0,0
0,Torremolinos,Uncategorized,Unknown,6,1,0.8944563571428572,8,7,0,5,2,0,1,3,2,0,1,0,0,0,0,0
0,imo,Uncategorized,Unknown,3,2,0.8615165599999999,6,5,3,2,0,0,1,2,2,0,0,0,0,0,0,0
0,83,organization,Unknown,6,12,0.837272998888889,18,18,5,6,4,3,1,9,4,3,1,0,0,0,0,0
0,94760735,organization,Unknown,1,1,0.8513850000000001,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0
0,Guessl,Uncategorized,Unknown,4,1,0.860546572,5,5,2,1,0,2,1,2,2,0,0,0,0,0,0,0
0,âpair,Uncategorized,Unknown,3,0,0.95766822,4,3,0,0,0,3,1,1,1,0,0,0,0,0,0,0
0,Stephanie Garner,person,Country_271835,3,0,0.9475575566666666,4,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0
0,185106,organization,Unknown,2,1,0.8455595866666666,4,3,0,2,0,1,1,1,0,0,1,0,0,0,0,0
0,3506021,organization,Unknown,34,30,0.8643783618750001,55,64,10,23,6,25,7,28,12,4,8,1,0,1,3,2
0,12744,organization,Unknown,1,3,0.9116671125,4,4,2,1,0,1,2,1,1,0,0,0,0,0,0,0
0,ee05a28e-82ba-4f1d-a60f-68797a422ada,location,Unknown,0,5,0.882016164,6,5,0,2,1,2,2,2,0,0,1,0,0,0,0,0
0,l y S.A. de C.V. International,Uncategorized,Unknown,15,3,0.7893914783333335,18,18,3,5,2,8,3,8,4,2,1,0,0,0,0,0
0,664738735,organization,Unknown,10,4,0.881092965,14,14,4,6,3,1,1,9,2,2,0,0,0,0,0,0
0,Conventionâ,Uncategorized,Unknown,2,0,0.81780681,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
0,380,organization,Unknown,4,23,0.883462625925926,28,27,4,11,1,11,2,5,7,6,3,0,4,0,0,0
0,245,organization,Unknown,2,4,0.8467400949999999,7,6,0,1,4,1,1,2,1,2,0,0,0,0,0,0
0,Patricia Hunter,person,Country_271835,3,2,0.869240302,6,5,0,5,0,0,0,2,1,0,0,0,2,0,0,0
0,Plastic,vessel,Unknown,1,6,0.8376186628571427,8,7,0,6,0,1,0,1,3,3,0,0,0,0,0,0
0,Daniel Middleton,person,Country_271835,4,3,0.8462888199999999,8,7,0,4,2,1,0,2,1,2,0,0,1,0,1,0
0,Sergio Ross,person,Country_271835,3,1,0.835611185,5,4,0,4,0,0,0,2,1,0,0,0,1,0,0,0
0,Platts Oilgram,Uncategorized,Unknown,3,1,0.8628580750000001,5,4,0,4,0,0,0,2,1,0,0,0,1,0,0,0
0,Feng,vessel,Unknown,4,0,0.8623449075,5,4,0,0,0,4,0,1,2,1,0,0,0,0,0,0
0,Brooke Garza,person,Marebak,2,2,0.8432389549999999,5,4,0,0,0,4,1,1,1,0,0,0,1,0,0,0
0,âtransshipmentâ,Uncategorized,Unknown,2,1,0.91269835,4,3,0,0,0,3,0,1,1,0,0,0,1,0,0,0
0,f9f6fc72-83db-4c44-a818-dde6c33985f9,location,Unknown,6,0,0.8502254050000001,7,6,6,0,0,0,0,3,3,0,0,0,0,0,0,0
0,Qingdao Kaiyuan Seafoods,Uncategorized,Unknown,3,6,0.8918349911111112,10,9,0,7,2,0,1,5,1,1,1,0,0,0,0,0
0,1853970,organization,Unknown,2,0,0.8160016649999999,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
0,1360,organization,Unknown,1,12,0.8687412538461537,14,13,5,0,5,3,1,5,1,3,1,1,0,1,0,0
0,Plattsâ,Uncategorized,Unknown,3,1,0.863080885,5,4,0,4,0,0,0,2,1,0,0,0,1,0,0,0
0,78,political_organization,Unknown,1,0,0.86972517,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,f514483d-fb5f-4cb2-bb8d-b616b10336d8,location,Unknown,4,0,0.92236255,5,4,0,0,1,3,0,2,1,0,1,0,0,0,0,0
0,Paul Parker,person,Country_271835,1,1,0.807716185,3,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0
0,860067396,organization,Unknown,1,1,0.8167038200000001,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0
0,ipoa-iuu,Uncategorized,Unknown,4,0,0.91370236,5,4,0,0,0,4,1,1,2,0,0,0,0,0,0,0
0,Wesley Vasquez,person,Country_271835,2,0,0.8618323,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,13015105,organization,Unknown,3,2,0.9118602260000002,4,5,1,2,0,2,0,3,2,0,0,0,0,0,0,0
0,Deepwater Horizon,vessel,Unknown,5,1,0.8398367200000001,6,6,0,6,0,0,0,4,1,1,0,0,0,0,0,0
0,348079,political_organization,Unknown,1,1,0.851973355,3,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0
0,Fish Sea,Uncategorized,Unknown,3,1,0.856264075,5,4,0,0,0,4,0,2,1,0,1,0,0,0,0,0
0,4447143,organization,Unknown,2,0,0.8528439649999999,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0
0,Sea Products,Uncategorized,Unknown,12,7,0.7937127210526316,16,19,4,2,0,13,1,8,6,1,1,0,0,0,2,0
0,W Appliance,Uncategorized,Unknown,5,2,0.8776135385714285,8,7,3,1,0,3,0,2,0,2,1,1,0,0,1,0
0,6393,organization,Unknown,3,1,0.8719184725,5,4,0,1,3,0,0,3,0,0,0,1,0,0,0,0
1,ocean,vessel,Unknown,4,3,0.8424407628571428,8,7,4,1,1,1,1,3,1,2,0,0,0,0,0,0
1,945,organization,Unknown,1,1,0.8592186500000001,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1,Amphibious Warships,vessel,Unknown,2,0,0.8811939099999999,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
1,222848436,organization,Unknown,0,3,0.88480379,4,3,2,1,0,0,0,1,1,0,0,0,1,0,0,0
1,64667049,organization,Unknown,2,0,0.96184242,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0
1,scooter,vessel,Unknown,2,0,0.880386425,3,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0
1,037acfda-0d33-4ce8-8907-fe7da3e27dff,location,Unknown,1,1,0.8090250999999999,3,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0
1,bc507d7c-29c9-4b0d-909e-52dd450a25d3,location,Unknown,2,0,0.8351040000000001,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1,Traci Elliott,person,Country_271835,3,0,0.8905132666666665,4,3,0,1,1,1,1,0,0,1,1,0,0,0,0,0
1,Motor Vessel,vessel,Unknown,7,0,0.9211213685714286,7,7,0,0,1,6,1,4,2,0,0,0,0,0,0,0
1,65,organization,Unknown,1,0,0.8324256,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,Insung,Uncategorized,Unknown,3,0,0.8845334533333333,4,3,0,0,0,3,0,1,1,0,1,0,0,0,0,0
1,10,event,Unknown,0,3,0.8532682433333333,4,3,2,0,0,1,0,0,1,0,2,0,0,0,0,0
1,Miss Jessica Baker DVM,person,Quandoria,0,1,0.85682833,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,Alonso-FernÃ,Uncategorized,Unknown,3,0,0.86442679,4,3,0,3,0,0,0,0,1,1,1,0,0,0,0,0
1,4b6a1701-93c3-403c-bd2f-9684106e8bba,location,Unknown,0,1,0.8500787,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,Mar de Cristalino Co,Uncategorized,Unknown,1,2,0.9033782966666668,4,3,1,0,0,2,0,0,1,2,0,0,0,0,0,0
1,42aea61e-a98f-4528-9f30-51624ecf3957,location,Unknown,0,4,0.8591828650000001,5,4,0,0,1,3,0,1,3,0,0,0,0,0,0,0
1,Madhya Pradesh Market Ltd Solutions,Uncategorized,Unknown,1,0,0.81344056,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,nigeria,Uncategorized,Unknown,1,0,0.89171946,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2036-06,Uncategorized,Unknown,1,0,0.89906824,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1465792,organization,Unknown,0,1,0.8101527,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Robert Rodriguez,person,Country_271835,2,0,0.8495252,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1,760402,organization,Unknown,0,5,0.84772593,6,5,0,1,2,2,2,2,0,0,0,0,0,0,1,0
1,25423,organization,Unknown,0,3,0.8607152,4,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0
1,Melissa Spence,person,Country_271835,2,0,0.93473337,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0
1,Jeffrey Yates,person,Country_271835,0,6,0.82472184,5,6,4,2,0,0,1,3,2,0,0,0,0,0,0,0
1,Hannah Brown,person,Country_271835,6,1,0.8765500714285713,8,7,1,0,3,3,1,2,0,3,1,0,0,0,0,0
1,Hardwoodsâ,Uncategorized,Unknown,2,0,0.95686345,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,ce0d446c-d08d-49a8-8aa2-e625ead63d0c,location,Unknown,1,2,0.84847908,4,3,0,0,3,0,2,0,0,0,1,0,0,0,0,0
1,2610,organization,Unknown,1,0,0.8989296,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,âcollaborativeâ,Uncategorized,Unknown,3,0,0.8742762133333333,4,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0
1,489,organization,Unknown,2,0,0.84314248,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
1,833355,organization,Unknown,2,0,0.8901152649999999,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1,Tammy Ryan,person,Country_271835,1,0,0.82532555,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1214936,organization,Unknown,3,0,0.9248036,4,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0
1,Douglas Gillespie,person,Country_271835,2,0,0.8500842,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0
1,boatâs,vessel,Unknown,5,0,0.893019654,6,5,0,0,0,5,1,2,1,1,0,0,0,0,0,0
1,41695239,organization,Unknown,1,1,0.8453661800000001,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
1,Bruce Spears,person,Country_271835,4,0,0.8980611875,5,4,0,0,0,4,1,1,2,0,0,0,0,0,0,0
1,55394387,organization,Unknown,3,4,0.8657784700000001,8,7,0,3,0,4,1,1,3,1,0,0,1,0,0,0
1,950ce1a6-a178-4e3e-9316-91ab7ca88664,location,Unknown,1,0,0.81180906,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,Mrs. Katrina Williams,person,Country_271835,2,0,0.80875102,3,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0
1,krxd,Uncategorized,Unknown,2,0,0.89750985,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1,Lauren Garner,person,Country_271835,2,0,0.8907963,3,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0
1,George Vance,person,Country_271835,1,2,0.8509145333333333,4,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0
1,e678510b-947d-455a-8eb0-44d1009682ec,location,Unknown,11,21,0.86085847375,25,32,2,7,1,22,8,5,7,8,3,1,0,0,0,0
1,James Horton,person,Country_271835,4,2,0.8870555483333332,5,6,1,1,0,4,2,0,4,0,0,0,0,0,0,0
1,288971672,political_organization,Unknown,3,0,0.8782874333333334,4,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0
1,432526990,organization,Unknown,4,0,0.90499839,5,4,0,4,0,0,1,1,0,2,0,0,0,0,0,0
1,43223,organization,Unknown,1,3,0.8400643425000001,5,4,3,0,0,1,1,0,1,1,0,1,0,0,0,0
1,electric cars,vessel,Unknown,2,0,0.94183665,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,Belgian Scallop Limited Liability Company Krill,Uncategorized,Unknown,1,2,0.8508440566666667,4,3,0,0,1,2,1,0,0,1,1,0,0,0,0,0
1,613281364,organization,Unknown,2,0,0.83969,3,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,Rachel Arnold,person,Country_271835,2,0,0.865516755,3,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0
1,Ntaco,Uncategorized,Unknown,3,1,0.916918175,5,4,0,0,0,4,0,3,0,0,1,0,0,0,0,0
1,1402,organization,Unknown,0,3,0.8399833033333334,4,3,1,0,0,2,1,2,0,0,0,0,0,0,0,0
1,116070050,organization,Unknown,1,1,0.85456708,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0
1,56126935,organization,Unknown,0,1,0.83132195,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,Christopher Daniel,person,Country_271835,0,2,0.842969765,3,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0
1,Melissa Gonzales,person,Marebak,5,7,0.8568809391666665,13,12,0,3,5,4,0,4,2,5,1,0,0,0,0,0
1,Sierra Vincent,person,Country_271835,3,0,0.9108116,4,3,0,0,2,1,0,0,1,2,0,0,0,0,0,0
1,8350379,organization,Unknown,1,0,0.84398854,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,Robert Adams,person,Country_271835,0,9,0.8566915977777777,10,9,1,1,4,3,0,2,2,4,1,0,0,0,0,0
1,Brandon Jackson,person,Country_271835,1,0,0.84604305,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,Alyssa Mccoy,person,Country_271835,2,0,0.8637138,3,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0
1,Michael Baker,person,Country_271835,2,0,0.848127695,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0
1,âshark finâ,Uncategorized,Unknown,2,0,0.911832725,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0
1,Khundu Ltd. Liability Co,company,Country_271835,3,0,0.8668544866666666,4,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0
1,e13aca6a-88b5-4be7-a293-4a57854d7b1d,location,Unknown,0,4,0.93718071,5,4,1,2,0,1,0,1,0,3,0,0,0,0,0,0
1,Allison Leonard,person,Country_271835,1,2,0.8916371333333334,4,3,1,1,1,0,1,0,0,1,1,0,0,0,0,0
1,cd2685a2-fce5-49ee-8ca7-b9faa081d190,location,Unknown,1,4,0.8483115480000001,5,5,3,0,2,0,0,3,1,0,1,0,0,0,0,0
1,LC,Uncategorized,Unknown,2,1,0.8422477666666667,4,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0
1,Katherine Chavez,person,Country_271835,2,0,0.84061772,3,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0
1,Kathy Rodriguez,person,Country_271835,0,3,0.90841397,4,3,1,0,2,0,0,0,0,2,1,0,0,0,0,0
1,7c54563c-577c-462f-8e30-389b510c776a,location,Unknown,0,1,0.9025884,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Morning,event,Unknown,0,2,0.85839905,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0
1,Jennifer Simmons,person,Country_271835,1,1,0.8606909300000001,3,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1,72899187-0989-47fa-9db0-cd1d4c3fc4e3,location,Unknown,0,2,0.89251705,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0
1,678,organization,Unknown,0,3,0.8458695766666665,4,3,0,1,0,2,2,1,0,0,0,0,0,0,0,0
1,34f0cbbf-83c3-4e09-ad7a-b94a778f7c12,location,Unknown,0,1,0.85020775,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,13,organization,Unknown,0,3,0.9198921366666668,4,3,0,1,0,2,2,0,0,0,1,0,0,0,0,0
1,67a59fab-710a-4992-b6d0-d581fd9dceba,location,Unknown,6,6,0.8602121774999999,13,12,8,0,0,4,1,4,4,0,2,0,1,0,0,0
1,150674265,organization,Unknown,2,0,0.881305885,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1,Cape of Good Hope  Oyj,company,Country_271835,0,6,0.8367753266666668,6,6,4,0,0,2,2,2,2,0,0,0,0,0,0,0
1,17,organization,Unknown,1,1,0.8388413,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1,The Pew Charitable Trustsâ,Uncategorized,Unknown,0,1,0.8190703,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,Erin Simmons,person,Oceanus,4,13,0.8531253547058824,18,17,3,4,2,8,1,5,5,2,3,0,1,0,0,0
1,Sea Breezes GmbH & Co. KG Lighthouse,Uncategorized,Unknown,2,2,0.875576475,4,4,0,4,0,0,0,0,0,2,2,0,0,0,0,0
1,Charles Fitzgerald,person,Country_271835,5,1,0.84828364,6,6,1,2,1,2,0,1,2,1,2,0,0,0,0,0
1,39893,organization,Unknown,2,0,0.82565545,3,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0
1,HMS,vessel,Unknown,1,1,0.8326988500000001,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0
1,John Campbell,person,Country_271835,2,0,0.8421831399999999,3,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0
