country,A/S,AB,AG,BV,CJSC,Co,Enterprises,Ges.m.b.H,Group,Inc,Kga,Limited,N.V.,OJSC,Oyj,PLC,S.A. de C.V.,S.p.A.,SE,SRL,Sagl,Sons,Sp,ОАО,missing
Coraland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coralmarica,7,1,2,3,4,30,0,14,0,6,3,24,9,4,5,6,7,1,3,3,4,6,3,6,13
Faraluna,2,1,0,3,0,9,1,4,0,0,0,12,1,3,0,1,5,3,0,0,0,2,2,2,5
Galduzim,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,2
Gavanovia,2,2,1,2,2,6,0,7,0,2,2,9,1,1,0,2,2,1,0,0,1,3,0,0,1
Helixia,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,1,0,0,0
Helvoris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icarnia,1,0,0,2,0,4,0,1,0,2,0,2,1,0,1,0,0,0,1,0,0,0,1,2,3
Imazam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isla Solmar,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2
Islavaragon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Islavaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Isliandor,11,3,3,4,6,32,0,13,0,10,3,37,6,2,3,12,19,3,3,4,6,5,4,4,16
Ivarisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jiraputra,0,0,0,0,1,1,0,0,0,1,0,2,1,0,2,0,2,0,0,1,0,0,0,0,0
Kethanor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kethilim,1,1,2,1,1,4,0,2,0,1,0,6,0,1,2,1,2,0,0,1,1,4,0,1,2
Khamposa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Khamseena,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kilivaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kondanovia,4,4,7,1,4,11,0,10,0,5,2,21,3,0,2,2,8,1,1,0,4,2,1,1,10
Kondarica,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kondarivakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Korvelonia,0,1,0,1,0,4,0,0,0,1,1,3,2,0,1,0,1,0,1,0,1,0,0,1,1
Kuzalanda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kuzima,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumakari,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumindoria,1,1,1,1,1,5,0,3,0,1,2,6,1,1,0,4,3,0,0,0,0,1,0,2,2
Luminkind,1,0,1,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
Mango del Oro,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1
Marebak,30,14,15,13,16,94,0,63,2,29,14,134,31,13,18,38,54,17,11,18,13,15,13,16,61
Marifada,2,0,0,0,0,2,0,3,0,1,1,3,2,0,1,0,1,1,1,1,0,0,0,0,3
Mawalara,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mawandia,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Mawazam,1,4,1,1,0,9,0,3,0,4,7,13,4,3,2,2,5,0,2,1,3,1,2,1,7
Merigrad,4,1,1,1,1,1,0,2,0,1,0,7,1,1,3,2,1,1,2,1,0,0,2,1,1
Morolaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Myriadonia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalakimani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nalakond,15,5,5,3,2,26,0,17,0,5,5,31,9,4,4,2,6,4,5,3,4,3,4,3,12
Nalaloria,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,1,1,0,2,0,0,0,0
Naraliket,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novarctica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novarcticaa,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nyxonix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oceanterra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Oceanus,77,37,41,48,37,289,2,184,2,107,54,395,81,40,43,78,141,42,46,42,47,41,38,50,181
Orvietola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Osterivaria,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1
Osterivaro,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Playa Solis,0,0,0,0,0,3,0,2,0,0,0,2,0,1,0,1,2,0,0,1,2,0,1,0,1
Polarinda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Polarisdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Portovia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Sol,8,2,5,1,6,21,0,16,1,14,5,28,6,3,0,3,10,0,5,5,2,5,5,2,17
Puerto del Mar,0,2,2,2,0,11,0,4,0,4,1,15,5,1,1,7,6,1,0,3,3,0,1,2,3
Quirinelle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Quornova,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rio Isla,4,2,2,1,2,13,0,9,0,7,5,21,7,2,5,2,3,3,5,2,4,0,1,1,8
Rio Solovia,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riodelsol,1,0,2,3,1,5,0,4,0,2,2,9,5,5,1,2,1,0,2,0,2,0,1,1,8
Rivenisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rosvandor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Sirenareef,0,0,1,0,0,3,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Sol y Oceana,6,3,0,4,1,8,0,6,0,8,2,14,6,4,2,6,2,1,2,0,2,5,2,3,5
Solovarossa,0,1,0,1,1,6,0,2,0,2,2,6,0,0,0,0,0,0,0,1,2,1,2,2,2
Solterrix,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrithania,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talandria,1,2,3,0,0,4,0,1,0,1,1,5,1,0,0,1,3,0,1,0,1,0,0,0,1
Thessalandia,3,0,0,2,1,5,0,3,0,3,0,11,1,0,0,2,2,2,0,0,0,2,0,4,2
Utoparadia,0,0,0,0,0,2,0,1,0,1,0,1,1,1,0,1,0,1,0,0,2,0,0,0,0
Utoporiana,6,2,3,1,1,18,0,9,0,5,5,17,8,3,3,5,10,2,5,6,0,5,5,1,8
Uzifrica,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Uziland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Valtalmo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vesperanda,2,0,0,0,2,7,0,3,0,1,2,6,0,1,1,2,1,5,2,0,0,0,0,1,4
Vesperlandia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vientoro,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wysterion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yggdrasonia,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
ZH,0,0,0,0,0,0,0,0,1225,1261,0,2532,0,0,0,1271,0,0,0,0,0,1202,0,0,14948
Zambarka,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zawalinda,3,4,2,5,0,9,0,6,0,3,2,8,4,3,0,2,2,5,2,1,1,0,3,1,7
