type,country,id,neighbor_count
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531,1
vessel,Unknown,77,12
person,Oceanus,Andrea Gibson,18
movement,Unknown,hours,9
organization,Unknown,7298083,37
organization,Unknown,21,3
organization,Unknown,6,10
person,Country_271835,Alexander Buchanan,2
person,Oceanus,Maria Mitchell,14
organization,Unknown,9,5
location,Unknown,14bda3bb-9993-4265-97cc-1747808c144e,30
person,Oceanus,Amanda Mckenzie,85
organization,Unknown,8698,7
person,Country_271835,Claire Russell,3
organization,Unknown,964,2
person,Country_271835,Scott Medina,5
organization,Unknown,2262,55
organization,Unknown,93873119,2
person,Country_271835,Jeremy Cordova,2
location,Unknown,602ea158-0519-47fc-badc-787721580418,1
person,Country_271835,Victoria Parks,3
Uncategorized,Unknown,St,8
location,Unknown,e40c01a4-8ed5-400f-857d-31e7bd263e35,5
organization,Unknown,49494,4
organization,Unknown,551,10
person,Country_271835,Bryan Taylor,3
organization,Unknown,380,27
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,2
organization,Unknown,349,2
organization,Unknown,97453782,3
organization,Unknown,71835024,4
person,Country_271835,Anne Anderson,3
person,Country_271835,Brian Nelson,2
organization,Unknown,78590886,4
organization,Unknown,7209,3
organization,Unknown,79139,6
organization,Unknown,78135,6
organization,Unknown,5810,5
organization,Unknown,704138011,1
organization,Unknown,84616,1
organization,Unknown,66538530,4
organization,Unknown,12731,4
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,5
political_organization,Unknown,82344,9
organization,Unknown,58,8
person,Country_19028,Cynthia Williams,6
Uncategorized,Unknown,Armed Robberyâ,6
organization,Unknown,76,5
organization,Unknown,6731,51
organization,Unknown,83,17
person,Vesperanda,Ms. Stephanie Rivera DDS,9
organization,Unknown,665,39
organization,Unknown,89772543,7
Uncategorized,Unknown,âunregulatedâ,1
location,Unknown,aea12579-8802-4b2d-b432-fc35fe4d10d5,6
location,Unknown,a7948099-0cab-4b80-8707-2ada931ac288,1
person,Country_271835,Michael Smith,4
person,Country_271835,Melanie Miller,2
organization,Unknown,12,12
organization,Unknown,27,3
person,Country_271835,Timothy Allen,4
person,Riodelsol,Nathaniel Jimenez,9
location,Unknown,3b728c8f-1eaa-4f16-8c63-d3bcffd437bb,3
company,Oceanus,Turkish Sword Buoy Incorporated Forwading,10
organization,Unknown,498817,3
organization,Unknown,2989,4
organization,Unknown,967,2
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,2
organization,Unknown,185106,3
organization,Unknown,947,10
person,Vesperand's Bay,Gregory Ortiz,4
person,Vesperand's Bay,Michael Compton,6
organization,Unknown,4348721,7
vessel,Unknown,USS Hershel,3
location,Unknown,b20c0baf-8530-4a84-a5b6-8da324ebebdb,6
organization,Unknown,26,1
organization,Unknown,21538,26
organization,Unknown,860600018,26
organization,Unknown,237659945,2
person,Country_271835,Victoria Anderson,7
vessel,Unknown,USCGC Spencer,3
vessel,Unknown,WMEC,3
organization,Unknown,435054320,61
vessel,Unknown,Cutter,5
location,Unknown,f21800ca-b3c9-404b-8438-3d75ea84c409,19
organization,Unknown,1560,13
Uncategorized,Unknown,Sept,36
person,Nalakond,John Gonzalez,21
organization,Unknown,68703341,2
political_organization,Unknown,57,30
political_organization,Unknown,6046437,5
location,Unknown,03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987,2
event,Unknown,Act,13
location,Unknown,9a651d73-d88f-4f9c-9497-7321ef575c6f,2
person,Country_271835,Natasha Phillips,2
location,Unknown,36351742-aff4-4df7-a495-1f1f2c94127a,4
person,Country_951683,Dakota Hansen,2
organization,Unknown,301,5
person,Country_271835,James Best,2
organization,Unknown,9203,2
organization,Unknown,3878194,5
person,Country_271835,Amy Kent,2
Uncategorized,Unknown,Conventionâ,2
event,Unknown,months years,2
vessel,Unknown,water fishing,1
Uncategorized,Unknown,monthsâ,2
vessel,Unknown,18,7
movement,Unknown,months,45
person,Country_271835,Emily Johnson,5
organization,Unknown,94,3
location,Unknown,e85c691a-2adc-4094-8d29-5ea328486951,6
organization,Unknown,760079,4
organization,Unknown,3009706,2
location,Unknown,41870892-4565-42cd-9374-8665d01e9aa9,23
person,Country_271835,Susan Erickson,2
organization,Unknown,80191,8
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b,7
event,Unknown,cookies,4
person,Syrithania,Ashley Davis,2
organization,Unknown,924,13
organization,Unknown,865275,14
organization,Unknown,449308,3
organization,Unknown,28,8
organization,Unknown,23777,10
organization,Unknown,518,5
organization,Unknown,426469,5
location,Unknown,6064a564-2a82-44b7-8614-3a33f25e41ba,1
location,Unknown,3cda9d0b-77af-4e85-bef8-e935ca55ea06,3
organization,Unknown,494197,2
organization,Unknown,200640636,8
organization,Unknown,23,39
organization,Unknown,144431,2
person,Country_271835,Debbie Daniel,1
company,Country_628643,png xi  Line,249
organization,Unknown,26261586,1
organization,Unknown,15910405,9
organization,Unknown,7361,2
organization,Unknown,85052185,2
organization,Unknown,48605,5
location,Unknown,c73572b6-7b24-49e7-8f52-11cf8ec3c7d2,1
organization,Unknown,8412071,5
organization,Unknown,439861274,5
person,Country_271835,Brian Williams,3
organization,Unknown,908724,5
person,Country_271835,Jennifer Price,4
political_organization,Unknown,653505420,1
person,Country_271835,Kimberly Palmer,3
organization,Unknown,5848,5
organization,Unknown,15785056,2
organization,Unknown,733,7
organization,Unknown,277983365,17
company,Rio Isla,Playa del Cielo Kga,138
organization,Unknown,26431,6
location,Unknown,6d249c4d-1f62-4ab2-b107-8fd978f115c7,2
organization,Unknown,3785,2
organization,Unknown,164575,3
person,Country_271835,Spencer King,5
person,Country_271835,Dawn Oconnell,2
event,Unknown,âŠ,46
organization,Unknown,1396,1
organization,Unknown,235866056,19
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748,5
organization,Unknown,486,16
event,Unknown,arts,2
Uncategorized,Unknown,98,7
person,Country_271835,Timothy Cuevas,3
person,Country_271835,Joshua Glover,3
person,Country_271835,Tara Villegas,3
person,Country_271835,Ashley Wiggins,1
political_organization,Unknown,49048884,2
organization,Unknown,9612243,2
person,Country_271835,Andrea Hansen,2
Uncategorized,Unknown,189,1
Uncategorized,Unknown,07,2
organization,Unknown,737205,2
event,Unknown,April,33
organization,Unknown,5705060,1
organization,Unknown,959,2
company,Country_271835,Belgian Scallop Ltd. Liability Co,3
Uncategorized,Unknown,ânecessaryâ,2
organization,Unknown,883320938,2
person,Country_271835,Ryan Williams,3
person,Country_271835,Colleen Everett,3
person,Country_271835,Brenda Gonzalez,3
organization,Unknown,2198,17
person,Country_271835,Clayton Rodgers,2
person,Country_271835,Randy Collins,2
location,Unknown,41398ea8-d14a-4666-80e8-6a212684d871,3
person,Country_271835,Brandon Berger,1
organization,Unknown,40690,2
location,Unknown,e836e8c3-a45e-4225-870d-d3e8dbc62c26,2
person,Oceanus,Jennifer Alvarez,2
person,Oceanus,Bryce Baker,14
organization,Unknown,743225,14
company,Country_271835,Norwegian Shrimp Ltd. Liability Co,2
company,Nalakond,Rajasthan Limited Liability Company,5
organization,Unknown,4783,4
person,Country_271835,Timothy Estrada,2
event,Unknown,ten,1
location,Unknown,e2816018-e01c-4eac-8dc5-e84aebc22cff,2
person,Country_271835,Vanessa Avila,9
organization,Unknown,529,2
organization,Unknown,47924922,6
organization,Unknown,49,32
political_organization,Unknown,12845006,1
organization,Unknown,9488645,25
person,Merigrad,Lauren Moore,3
Uncategorized,Unknown,âlocalâ,4
Uncategorized,Unknown,Leominster Provincetownâ,3
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7,1
political_organization,Unknown,913428,3
location,Unknown,d7f220de-bba2-4965-9c15-3dd38ef5c3c7,3
Uncategorized,Unknown,fisheriesâ,3
person,Country_271835,Mark Weiss,11
organization,Unknown,53073557,4
person,Country_271835,Jason Davis,2
organization,Unknown,34,25
person,Country_271835,Erin Bowen,2
person,Country_19028,Albert Thomas,3
organization,Unknown,31408,2
organization,Unknown,28064,1
person,Country_271835,Kyle Stanton,2
location,Unknown,ae16dd9b-0271-4699-91bc-0ce6b69357c6,10
person,Country_271835,Mrs. Crystal Reyes,1
location,Unknown,e31b2b9c-3197-4c2c-ac40-3c6711a4682b,3
location,Unknown,5a52675e-1243-4244-ad55-85a06c4408de,11
person,Oceanus,Stephanie Hinton,2
location,Unknown,8153f5cb-e1f7-49bb-91bb-24b3a296a40a,4
organization,Unknown,70873,2
company,Country_338740,Estrella de Mar Ltd. Liability Co,6
vessel,Unknown,Ship2Report,6
organization,Unknown,90562,8
location,Unknown,b28d568f-09b4-41bd-b04d-4cf255f1adc6,11
organization,Unknown,410,2
organization,Unknown,47562016,11
organization,Unknown,87940,6
organization,Unknown,5639000,8
organization,Unknown,5372,5
organization,Unknown,951093,5
organization,Unknown,86590543,6
person,Country_271835,Jonathan Smith,5
location,Unknown,217fe70e-cc2d-4899-9127-e0a7da182699,2
company,Country_271835,Playa de la Luna Ltd. Corporation,7
organization,Unknown,304,4
organization,Unknown,672,16
location,Unknown,02cd44a1-7945-40d9-b38f-56f70976582c,2
organization,Unknown,7950,5
organization,Unknown,44,3
organization,Unknown,41,6
organization,Unknown,2125,4
location,Unknown,1076f239-831c-4c53-9134-484c8f2d5c73,4
person,Country_271835,Amy Wilson,3
location,Unknown,9e2e5adf-b6aa-4e7f-9af1-a899ceccfba6,10
organization,Unknown,59,19
organization,Unknown,46510923,8
vessel,Unknown,pilot,3
organization,Unknown,9699687,3
company,Vesperlandia,Mar del Oeste Pic,225
organization,Unknown,31,4
organization,Unknown,4526320,3
organization,Unknown,98748,3
organization,Unknown,50,2
organization,Unknown,5495,8
political_organization,Unknown,454,6
organization,Unknown,83818120,5
person,Country_271835,Mr. Gregory Brown,8
organization,Unknown,8327,13
organization,Unknown,222848436,3
vessel,Unknown,Amphibious Warships,2
person,Country_271835,Brian Weber,2
movement,Unknown,weeks,20
organization,Unknown,40213337,24
vessel,Unknown,cutters,6
vessel,Unknown,Coast,19
organization,Unknown,7505050,27
event,Unknown,Today,7
event,Unknown,June year,1
organization,Unknown,8787,17
political_organization,Unknown,218,5
political_organization,Unknown,88149,5
organization,Unknown,175,11
person,Country_271835,Michael Nicholson,3
person,Country_271835,Andrea Peters,2
organization,Unknown,7691,35
organization,Unknown,98332,12
organization,Unknown,78565892,3
location,Unknown,df365f60-c399-42f5-ad38-736145edef5e,2
organization,Unknown,4146760,1
organization,Unknown,812740593,4
person,Country_271835,Joshua Baker,3
organization,Unknown,4764109,2
organization,Unknown,761,1
location,Unknown,a7d22b55-872d-4fc0-b1ea-935f63ce0d2a,1
vessel,Unknown,water,13
Uncategorized,Unknown,âdevil vesselsâ,1
person,Country_245265,Erik Johnson,1
person,Country_271835,Alexandria Wilson,1
organization,Unknown,9786,19
person,Country_271835,Stephanie Garner,3
Uncategorized,Unknown,œÆï,14
Uncategorized,Unknown,œe1Pï,14
Uncategorized,Unknown,œe1Pï¿œPï,13
Uncategorized,Unknown,œPï,13
Uncategorized,Unknown,œíï,14
Uncategorized,Unknown,œXuï,14
Uncategorized,Unknown,œÞ£ï,14
Uncategorized,Unknown,œ8p,14
Uncategorized,Unknown,œk,14
Uncategorized,Unknown,œPjï,14
Uncategorized,Unknown,œÞï,14
Uncategorized,Unknown,œB,14
Uncategorized,Unknown,œlÞuï,14
Uncategorized,Unknown,iJPkï,14
Uncategorized,Unknown,œ5ï,14
Uncategorized,Unknown,œï,35
Uncategorized,Unknown,œDdï,35
Uncategorized,Unknown,Æï,35
Uncategorized,Unknown,œgï,35
Uncategorized,Unknown,pï¿œï,35
Uncategorized,Unknown,œï¿œï,35
Uncategorized,Unknown,Kï,35
Uncategorized,Unknown,œiï,35
Uncategorized,Unknown,qï¿œî,35
Uncategorized,Unknown,œGuï,35
Uncategorized,Unknown,œPm6,35
Uncategorized,Unknown,œz,35
Uncategorized,Unknown,œNï,35
Uncategorized,Unknown,œÎï,35
Uncategorized,Unknown,œbjNnnï,35
Uncategorized,Unknown,œLï,35
Uncategorized,Unknown,œß,35
Uncategorized,Unknown,œ5ï,35
Uncategorized,Unknown,Éd,35
Uncategorized,Unknown,Lï,35
Uncategorized,Unknown,œjOÑ,35
Uncategorized,Unknown,œY,35
Uncategorized,Unknown,œnOï,35
Uncategorized,Unknown,Nï,35
Uncategorized,Unknown,œzï,35
Uncategorized,Unknown,œX,35
Uncategorized,Unknown,œÒŒipï,35
Uncategorized,Unknown,œMSssï,35
Uncategorized,Unknown,œx,35
Uncategorized,Unknown,œVï,35
Uncategorized,Unknown,œUkï,35
Uncategorized,Unknown,œmï¿œdï,35
Uncategorized,Unknown,œmç¢kï,35
Uncategorized,Unknown,œmç¢kï¿œF1ï,34
Uncategorized,Unknown,œF1ï,34
Uncategorized,Unknown,œF1ï¿œF,35
person,Country_271835,Miguel Fisher,4
event,Unknown,Last,9
person,Country_271835,Jeremy Norris,19
person,Marebak,Dana Goodwin,24
organization,Unknown,897,2
location,Unknown,5961c4ed-5c5b-40e4-b0ab-1e0217cb12c0,1
location,Unknown,d3243667-8978-454b-917e-530ab514fcb0,1
organization,Unknown,2243528,6
location,Unknown,693c9865-5633-40a1-bcb6-3f0dd68a41c4,2
organization,Unknown,544344,9
organization,Unknown,2056,1
organization,Unknown,95219,3
organization,Unknown,579919,2
vessel,Unknown,Ocean Tuna,2
organization,Unknown,262157542,19
organization,Unknown,46194,3
organization,Unknown,826273,6
organization,Unknown,951,3
organization,Unknown,911,4
organization,Unknown,9204971,2
organization,Unknown,2230601,1
event,Unknown,10,3
vessel,Unknown,Explorer,3
person,Country_271835,Diana Brandt,4
person,Country_271835,Brandi Bowen,3
person,Country_271835,Taylor Chan,2
location,Unknown,1a069318-6dc0-45d0-9948-7b846f61c201,2
location,Unknown,79513661-4dbe-4797-a73a-e53177f7a4b3,2
person,Country_271835,Michele Henry,9
organization,Unknown,36295,2
location,Unknown,a7a35f33-3e72-44f2-a51b-922e44da23bc,3
Uncategorized,Unknown,âartisanalâ,29
Uncategorized,Unknown,âsubsistenceâ,28
person,Country_271835,Jeremiah Delacruz,3
event,Unknown,âsquids,7
event,Unknown,âclams,7
event,Unknown,Octopus,3
organization,Unknown,60253,3
organization,Unknown,109746,2
organization,Unknown,13015105,3
person,Country_552976,Ms. Jenna Gonzalez MD,1
location,Unknown,37e46ce7-3cfa-4805-a254-5549adf19805,5
person,Country_552976,Scott Mays,2
location,Unknown,b4caf8cd-dbc7-4c99-9f2b-de407274c08b,4
location,Unknown,38b72863-eaf3-4270-a213-d9ddaee2c6cb,4
location,Unknown,410af01b-a5fb-4d6c-946d-a48fea30332b,4
event,Unknown,âSocioeconomic,3
organization,Unknown,553309,21
Uncategorized,Unknown,EBSCOhostâsearched âoctopus,27
Uncategorized,Unknown,AND fisheryâ,29
organization,Unknown,515270,21
location,Unknown,09e2222b-c13c-4a94-b1d9-b79238be0788,29
Uncategorized,Unknown,artisanalâ,29
political_organization,Unknown,704,29
person,Country_271835,Elizabeth Savage,19
Uncategorized,Unknown,âoctopusâ,28
Uncategorized,Unknown,âcephalopodâ,28
Uncategorized,Unknown,cyaneaâ,28
Uncategorized,Unknown,mayaâ,28
person,Country_271835,Taylor Park,29
Uncategorized,Unknown,âpolvoâ,27
Uncategorized,Unknown,âlivelihoodâ,27
person,Country_271835,Angela Wheeler,29
person,Country_271835,Lisa Branch,29
Uncategorized,Unknown,folkâ,27
Uncategorized,Unknown,âwomenâ,27
Uncategorized,Unknown,âfisherâ,28
Uncategorized,Unknown,managementâ,27
Uncategorized,Unknown,âo,26
person,Country_271835,Adam Blankenship,26
Uncategorized,Unknown,âpoulpeâ,25
person,Country_271835,Mr. Thomas Johnson DDS,25
Uncategorized,Unknown,scaleâ,26
company,Country_271835,Costa del Mar Oyj Hijiki,1
person,Quandoria,Miss Jessica Baker DVM,1
Uncategorized,Unknown,Alonso-FernÃ,3
location,Unknown,4b6a1701-93c3-403c-bd2f-9684106e8bba,1
location,Unknown,c1aeee2d-0030-4d85-b45c-ac3fd9887b98,3
company,Osterivaria,Bu yu wang Plc Carriers,3
person,Country_271835,Jeffrey Yates,4
location,Unknown,42aea61e-a98f-4528-9f30-51624ecf3957,4
organization,Unknown,1334578,4
organization,Unknown,7670,14
organization,Unknown,43,2
movement,Unknown,conjunction,1
event,Unknown,OE23,1
organization,Unknown,3601920,4
organization,Unknown,435978092,4
person,Uzimoria,Andres Cook,5
location,Unknown,22a2062d-03d8-48c3-9e91-9e5930b8d29f,13
person,Country_271835,Tyler Guzman,5
location,Unknown,ab195b55-453e-4436-ab0c-9f5660b4ec8c,11
person,Country_874023,Joseph Gonzales,12
person,Oceanus,Cindy Ritter,11
organization,Unknown,5441,13
organization,Unknown,199442,29
political_organization,Unknown,903,22
person,Country_874023,Erica Mitchell,2
organization,Unknown,829,9
organization,Unknown,995899,6
organization,Unknown,47249,9
organization,Unknown,23399545,6
political_organization,Unknown,621,8
Uncategorized,Unknown,europeansting,2
company,Country_271835,Jammu & Kashmir Ltd Family,3
political_organization,Unknown,7023,23
organization,Unknown,13863,8
person,Country_271835,James Smith MD,2
person,Country_271835,Brian Palmer,9
organization,Unknown,35683821,2
person,Country_895471,Morgan Bell,22
organization,Unknown,1465792,1
organization,Unknown,366,9
organization,Unknown,19386200,6
organization,Unknown,85946,3
organization,Unknown,172114,8
organization,Unknown,657,1
organization,Unknown,87339689,2
organization,Unknown,522017227,3
political_organization,Unknown,29,4
political_organization,Unknown,327481624,4
location,Unknown,cf651b3c-4e21-458c-91c4-3cae2eb36bcb,3
location,Unknown,17c99d9d-7049-4ebb-8a2a-f3d39cc42870,8
organization,Unknown,760402,5
person,Country_271835,Sarah Clark,2
vessel,Unknown,Water,2
organization,Unknown,737137552,2
location,Unknown,77bfcfcd-af2c-4b58-8a99-871a6c6109f2,2
location,Unknown,25875c2e-ff9a-4669-bad7-2c84bafb7515,3
person,Country_271835,Matthew Martin,2
person,Country_271835,Tyler Brown,4
organization,Unknown,11960055,2
location,Unknown,ce0d446c-d08d-49a8-8aa2-e625ead63d0c,3
organization,Unknown,25423,3
company,Country_271835,Delhi ers AS Holdings,17
company,Country_271835,Cape of Good Hope  Oyj,5
location,Unknown,abcb0d9c-80da-4491-99f3-e093984f5373,2
person,Oceanus,Erin Simmons,17
Uncategorized,Unknown,LOMÃ,2
location,Unknown,6ae0d6bb-b101-4905-8b41-86b10a580c82,3
person,Oceanus,Kristina Frazier,1
person,Oceanus,Bryan Johnston,6
organization,Unknown,874124852,1
location,Unknown,05ef2661-6f3a-4f37-83e7-2ec8352afaef,3
location,Unknown,2ef60e7b-4914-4dbd-a063-5b23143fe5db,3
political_organization,Unknown,2633692,5
location,Unknown,fc4e853f-6e18-4631-bf95-f70d6a30579f,18
location,Unknown,6c7a8222-efc7-41a6-809a-043b091ae04a,6
person,Country_271835,Dale Warner,2
organization,Unknown,451,2
location,Unknown,705283b0-cdb7-4f0a-8481-b3fea243a8e5,3
location,Unknown,30295c76-f2c6-4284-89fd-8f8fd082889b,2
Uncategorized,Unknown,Statesâ,6
vessel,Unknown,Gulf,9
vessel,Unknown,Boat,3
person,Country_271835,Teresa Rivera,4
organization,Unknown,767368152,4
location,Unknown,6d887b98-7c48-4a82-98bb-2f50fe4b29d5,2
vessel,Unknown,salmon,8
person,Country_271835,George Ramirez,4
location,Unknown,4e872202-1d65-4183-80c9-e8c12c8f736e,2
organization,Unknown,4382,4
organization,Unknown,7320771,3
organization,Unknown,94760735,2
political_organization,Unknown,969,4
location,Unknown,86dc0f8c-7305-4c1e-b655-cf16eefd6fce,1
location,Unknown,8164acdd-514f-4e18-867c-4bc63cebf15b,2
company,Country_271835,Playa del Mar Caviar,2
location,Unknown,a7f76d84-4ccf-424a-9bf9-fc20b862b7a8,8
organization,Unknown,142,3
organization,Unknown,3183,3
company,Country_766259,Estrella de la Costa Inc Transit,3
organization,Unknown,802113,12
organization,Unknown,372016989,8
person,Country_271835,Alan Pacheco,4
location,Unknown,50335cc3-71d6-4803-baca-5faaecfc33cb,2
person,Country_271835,Virginia Carter,2
person,Country_271835,April James,3
Uncategorized,Unknown,Aleut Community St,3
Uncategorized,Unknown,KanuuxÌ,3
location,Unknown,e8036bce-0679-41d2-aa7b-d444163ae65a,4
Uncategorized,Unknown,âSewardâs Follyâ,1
person,Country_271835,Wendy Duarte,4
location,Unknown,aa1f466d-d060-40fa-ab0e-3f8bb2ca940f,4
person,Country_271835,Alexis Murphy,2
Uncategorized,Unknown,AlaÄum KanuuxÌ,3
person,Country_34878,Angela Powers,38
person,Country_271835,Eric Gentry,1
person,Country_271835,Donna Shepherd,1
company,Country_271835,Zambezi Rapids NV Brothers,2
organization,Unknown,25652724,8
organization,Unknown,430,2
location,Unknown,f402c1d2-8262-4bae-aa92-c8675a7006fc,5
organization,Unknown,49729,14
organization,Unknown,9209373,2
location,Unknown,dff423b9-cf9a-4b0a-849f-ecb513924287,2
organization,Unknown,993137821,2
organization,Unknown,2421,3
organization,Unknown,7413,2
political_organization,Unknown,43185,14
organization,Unknown,937182447,2
Uncategorized,Unknown,âAlaÄum KanuuxÌ,2
organization,Unknown,861,2
person,Country_271835,Gary Scott,3
organization,Unknown,883290144,5
organization,Unknown,859375359,2
location,Unknown,47967ccc-0e26-458d-b1e5-80e8668db714,2
organization,Unknown,7056336,1
organization,Unknown,36322,1
organization,Unknown,52,4
location,Unknown,c9b9c344-98ec-40b8-af05-8528e5d82534,7
organization,Unknown,42603647,6
organization,Unknown,8544797,2
organization,Unknown,5070599,5
organization,Unknown,8966,4
organization,Unknown,39,20
vessel,Unknown,Plastic,7
organization,Unknown,927244,2
location,Unknown,e53552bc-174b-4799-b96b-c23cfa0731cb,7
organization,Unknown,9166,2
vessel,Unknown,19,23
organization,Unknown,48,15
person,Oceanus,Thomas Curry,5
location,Unknown,87ea830d-be41-4317-8b1b-142f23da70d7,5
organization,Unknown,662118,4
organization,Unknown,45,4
location,Unknown,c14a3dc1-59d0-4b92-b9f3-331e51912787,1
Uncategorized,Unknown,17 Sept,2
person,Oceanus,Christopher Peterson,3
organization,Unknown,505943,8
person,Country_271835,Isaiah Hammond,2
person,Country_271835,Erica Bailey,2
organization,Unknown,90183,2
organization,Unknown,79538,12
person,Country_271835,Kevin Norton,2
person,Country_271835,Gregory Moore,1
organization,Unknown,43685541,28
organization,Unknown,7871,1
organization,Unknown,7247721,1
organization,Unknown,22,2
location,Unknown,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32,14
Uncategorized,Unknown,âgreenâ,1
movement,Unknown,normal,1
location,Unknown,ede1806c-b3d1-47f5-ba49-d948d6ec385a,2
organization,Unknown,36,1
location,Unknown,52e9a600-9d6f-4683-95be-c7c60c57ffe1,1
person,Polarisdom,Christina Olsen,1
Uncategorized,Unknown,DiÃ,2
Uncategorized,Unknown,logo,5
person,Country_271835,Amy Wise,1
organization,Unknown,8609,3
political_organization,Unknown,40952,2
organization,Unknown,27641046,2
location,Unknown,e167b40a-96f4-40e0-873b-78950e4434f4,4
organization,Unknown,324989705,3
organization,Unknown,5415,2
organization,Unknown,9473,2
location,Unknown,52093e45-b873-4300-9612-8dfc291b1339,9
location,Unknown,46aadaa6-fb30-4474-a060-3adb689f4189,1
location,Unknown,8c53a730-3aa1-463f-aef6-999a3cfbfb70,1
organization,Unknown,528,1
person,Country_895471,Abigail Foster,26
company,Marebak,Rybachit Limited Liability Company,10
person,Country_271835,Hunter Wheeler,2
person,Country_271835,Christopher Miller,8
location,Unknown,ae88562c-5c39-4c15-b128-b4f67f5e5812,2
Uncategorized,Unknown,ipoa-iuu,4
