id,type,country,neighbor_count,In_Degree,Out_Degree,Tot_Degree,Count,Average_Weight,size,Community,Community_avg_weight,no_location,Connected_political_organization,Score,Suspicion rate
766649,political_organization,Unknown,12,8,4,12,39,0.837760167,-1,13,0.857723572,0,0,0.37,6.17%
955425,organization,Unknown,2,0,2,2,1014,0.8177113,0,3,0.865361844,1,1,1.943,32.38%
132,organization,Unknown,8,4,5,9,59,0.869894306,0,3,0.865361844,1,0,1.11,18.50%
8701038,organization,Unknown,3,0,3,3,578,0.85076294,0,2,0.858512917,0,1,1.2029999999999998,20.05%
9067,organization,Unknown,26,7,19,26,10,0.850110278,1,5,0.870361632,0,1,-0.1169999999999999,-1.95%
750975,organization,Unknown,29,8,25,33,3,0.870496459,0,5,0.870361632,0,1,1.2029999999999998,20.05%
3404599,organization,Unknown,15,15,1,16,28,0.877648613,1,5,0.870361632,0,1,-0.757,-12.62%
85117949,political_organization,Unknown,13,3,11,14,42,0.883218731,-1,5,0.870361632,0,0,1.01,16.83%
3506021,organization,Unknown,54,34,30,64,2,0.864378362,3,0,0.859966164,0,1,-0.757,-12.62%
348079,political_organization,Unknown,2,1,1,2,1014,0.851973355,-1,0,0.859966164,0,0,0.37,6.17%
78,political_organization,Unknown,1,1,0,1,383,0.86972517,-1,0,0.859966164,0,0,2.27,37.83%
95,organization,Unknown,27,17,17,34,6,0.88378819,0,3,0.865361844,0,1,-0.387,-6.45%
â8â,Uncategorized,Unknown,3,0,3,3,578,0.937132967,-1,29,0.924135683,1,0,2.7,45.00%
ârefer,Uncategorized,Unknown,3,1,2,3,578,0.9250407,-1,29,0.924135683,1,0,1.75,29.17%
â10â,Uncategorized,Unknown,3,2,1,3,578,0.918208067,-1,29,0.924135683,1,0,1.11,18.50%
Alyssa Huffman,person,Country_271835,3,3,0,3,578,0.916161,-1,29,0.924135683,0,0,1.3199999999999998,22.00%
245,organization,Unknown,6,2,4,6,139,0.846740095,0,6,0.871177745,1,0,1.75,29.17%
300668979,organization,Unknown,10,6,4,10,35,0.8733458,0,0,0.859966164,0,0,0.37,6.17%
âNoticesââ,Uncategorized,Unknown,3,3,0,3,578,0.878335133,-1,0,0.859966164,1,0,2.06,34.33%
651,organization,Unknown,3,2,1,3,578,0.853380933,0,0,0.859966164,0,0,0.37,6.17%
7845,political_organization,Unknown,5,3,3,6,139,0.905735125,-1,5,0.870361632,0,0,0.37,6.17%
265700083,organization,Unknown,2,0,3,3,578,0.854300467,0,25,0.901522813,1,0,2.7,45.00%
47679,organization,Unknown,48,31,33,64,2,0.850737051,3,13,0.857723572,0,1,-0.757,-12.62%
d0123474-8425-4ab0-90d5-175920158638,location,Unknown,18,5,13,18,20,0.875425744,-1,19,0.833679999,0,0,1.96,32.67%
425887173,organization,Unknown,11,7,4,11,37,0.862020922,1,16,0.863440281,0,1,-0.757,-12.62%
86597,organization,Unknown,7,5,2,7,110,0.843801317,0,2,0.858512917,1,1,0.353,5.88%
405ab2a5-68f0-4304-ab94-24c7995a248e,location,Unknown,3,0,3,3,578,0.846765087,-1,2,0.858512917,0,0,1.96,32.67%
44842,political_organization,Unknown,6,1,5,6,139,0.85910505,-1,2,0.858512917,0,0,1.01,16.83%
e2b334d9-4d51-40b2-a7b1-441b88400b75,location,Unknown,4,1,3,4,379,0.84801986,-1,2,0.858512917,0,0,1.01,16.83%
68,political_organization,Unknown,2,0,2,2,1014,0.871198015,-1,2,0.858512917,0,0,1.96,32.67%
610,organization,Unknown,2,1,1,2,1014,0.8830854,0,2,0.858512917,1,0,1.11,18.50%
4063,organization,Unknown,1,1,0,1,383,0.90863675,0,9,0.878627009,1,0,3.01,50.17%
740523,organization,Unknown,1,1,0,1,383,0.8628217,0,9,0.878627009,1,0,3.01,50.17%
Marine,vessel,Unknown,9,0,9,9,59,0.850147203,-1,9,0.878627009,0,0,1.96,32.67%
255â273,Uncategorized,Unknown,4,4,0,4,379,0.869324435,-1,1,0.859454355,0,0,1.3199999999999998,22.00%
91dcf36d-dba8-41e8-a4cc-912981a27296,location,Unknown,4,3,1,4,379,0.844864322,-1,2,0.858512917,0,0,0.37,6.17%
69150209,organization,Unknown,20,7,14,21,9,0.893593957,0,12,0.878477793,0,1,0.253,4.22%
2,organization,Unknown,8,2,6,8,65,0.849171446,2,1,0.859454355,1,0,1.38,23.00%
72,organization,Unknown,2,0,2,2,1014,0.857734385,0,12,0.878477793,1,0,2.7,45.00%
35881,organization,Unknown,2,2,0,2,1014,0.894642265,0,12,0.878477793,1,0,2.06,34.33%
06430a2c-805a-4a76-bbda-2a24c0c860d7,location,Unknown,1,0,1,1,383,0.82301563,-1,2,0.858512917,0,0,2.91,48.50%
Derek Burke,person,Nalakond,40,28,17,45,2,0.913199292,-1,12,0.878477793,0,0,1.3199999999999998,22.00%
490653,political_organization,Unknown,3,0,3,3,578,0.816293333,-1,16,0.863440281,0,0,1.96,32.67%
888,political_organization,Unknown,2,2,0,2,1014,0.839689835,-1,3,0.865361844,0,0,1.3199999999999998,22.00%
775298545,organization,Unknown,3,0,3,3,578,0.8532593,0,2,0.858512917,1,0,2.7,45.00%
26676370,organization,Unknown,2,2,0,2,1014,0.82405168,0,2,0.858512917,1,0,2.06,34.33%
Viento Azul Harbor LLC Investment,company,Country_271835,3,3,0,3,578,0.841467443,0,4,0.868860929,1,0,2.06,34.33%
Viking fishing,vessel,Unknown,2,2,0,2,1014,0.867698965,-1,4,0.868860929,0,0,1.3199999999999998,22.00%
44956,organization,Unknown,5,2,3,5,203,0.83018121,0,5,0.870361632,0,1,0.253,4.22%
3,political_organization,Unknown,3,2,1,3,578,0.826599067,-1,5,0.870361632,0,0,0.37,6.17%
5,organization,Unknown,5,1,5,6,139,0.908863583,1,17,0.871449309,1,0,1.38,23.00%
0715f2ea-3d11-4eaa-a0c4-fb3290896531,location,Unknown,1,1,0,1,383,0.84395957,-1,16,0.863440281,0,0,2.27,37.83%
77,vessel,Unknown,12,14,12,26,10,0.868513357,-1,21,0.884784429,1,0,1.85,30.83%
Andrea Gibson,person,Oceanus,18,14,5,19,16,0.851097898,-1,16,0.863440281,0,0,0.37,6.17%
hours,movement,Unknown,9,9,0,9,59,0.833752972,-1,1,0.859454355,0,0,1.3199999999999998,22.00%
7298083,organization,Unknown,37,16,25,41,3,0.86029981,2,2,0.858512917,0,1,-0.1169999999999999,-1.95%
21,organization,Unknown,3,1,3,4,379,0.81553563,0,16,0.863440281,1,0,1.75,29.17%
6,organization,Unknown,10,5,6,11,37,0.823068295,3,16,0.863440281,1,0,0.74,12.33%
Alexander Buchanan,person,Country_271835,2,2,0,2,1014,0.828247965,-1,16,0.863440281,0,0,1.3199999999999998,22.00%
Maria Mitchell,person,Oceanus,14,9,7,16,28,0.828141198,-1,16,0.863440281,0,0,0.37,6.17%
9,organization,Unknown,5,0,5,5,203,0.858042472,0,1,0.859454355,1,0,2.7,45.00%
14bda3bb-9993-4265-97cc-1747808c144e,location,Unknown,30,10,22,32,2,0.873142879,-1,9,0.878627009,0,0,1.96,32.67%
Amanda Mckenzie,person,Oceanus,85,71,29,100,1,0.874703316,-1,1,0.859454355,0,0,0.37,6.17%
8698,organization,Unknown,7,1,6,7,110,0.858525716,1,8,0.854248151,1,0,1.38,23.00%
Claire Russell,person,Country_271835,3,3,0,3,578,0.903335033,-1,8,0.854248151,0,0,1.3199999999999998,22.00%
964,organization,Unknown,2,1,1,2,1014,0.871600675,1,8,0.854248151,1,0,0.74,12.33%
Scott Medina,person,Country_271835,5,4,1,5,203,0.88176584,-1,4,0.868860929,0,0,0.37,6.17%
2262,organization,Unknown,55,32,36,68,1,0.873793604,5,3,0.865361844,0,1,0.1929999999999999,3.22%
93873119,organization,Unknown,2,0,2,2,1014,0.8609713,0,2,0.858512917,1,0,2.7,45.00%
Jeremy Cordova,person,Country_271835,2,0,2,2,1014,0.80569113,-1,1,0.859454355,0,0,1.96,32.67%
602ea158-0519-47fc-badc-787721580418,location,Unknown,1,0,2,2,1014,0.845129625,-1,1,0.859454355,0,0,1.96,32.67%
Victoria Parks,person,Country_271835,3,2,1,3,578,0.88170154,-1,4,0.868860929,0,0,0.37,6.17%
St,Uncategorized,Unknown,8,1,9,10,35,0.858713474,2,4,0.868860929,0,0,0.64,10.67%
e40c01a4-8ed5-400f-857d-31e7bd263e35,location,Unknown,5,5,0,5,203,0.834034008,-1,4,0.868860929,0,0,1.3199999999999998,22.00%
49494,organization,Unknown,4,3,2,5,203,0.844858758,0,20,0.860504275,0,0,0.37,6.17%
551,organization,Unknown,10,10,0,10,35,0.887328964,0,0,0.859966164,0,0,1.3199999999999998,22.00%
Bryan Taylor,person,Country_271835,3,1,2,3,578,0.86722149,-1,13,0.857723572,0,0,1.01,16.83%
380,organization,Unknown,27,4,23,27,14,0.883462626,2,0,0.859966164,0,0,0.64,10.67%
f20779bf-63b5-4ea4-bb5f-944bb9449bce,location,Unknown,2,1,1,2,1014,0.880307675,-1,1,0.859454355,0,0,0.37,6.17%
349,organization,Unknown,2,2,0,2,1014,0.917688525,0,1,0.859454355,0,0,1.3199999999999998,22.00%
97453782,organization,Unknown,3,3,0,3,578,0.88423797,0,1,0.859454355,1,0,2.06,34.33%
71835024,organization,Unknown,4,0,4,4,379,0.849254278,0,6,0.871177745,1,0,2.7,45.00%
Anne Anderson,person,Country_271835,3,3,0,3,578,0.83022978,-1,7,0.862319347,0,0,1.3199999999999998,22.00%
Brian Nelson,person,Country_271835,2,2,0,2,1014,0.854623265,-1,1,0.859454355,0,0,1.3199999999999998,22.00%
78590886,organization,Unknown,4,0,4,4,379,0.859218168,0,28,0.853917804,1,0,2.7,45.00%
7209,organization,Unknown,3,1,2,3,578,0.855515047,0,28,0.853917804,1,0,1.75,29.17%
79139,organization,Unknown,6,4,3,7,110,0.817889499,2,28,0.853917804,1,0,0.74,12.33%
78135,organization,Unknown,6,5,2,7,110,0.837143684,0,28,0.853917804,1,0,1.11,18.50%
5810,organization,Unknown,5,5,0,5,203,0.846446404,0,28,0.853917804,1,0,2.06,34.33%
704138011,organization,Unknown,1,0,1,1,383,0.9014219,0,28,0.853917804,1,0,3.65,60.83%
84616,organization,Unknown,1,2,0,2,1014,0.83081447,0,1,0.859454355,1,0,2.06,34.33%
66538530,organization,Unknown,4,0,4,4,379,0.857225235,2,30,0.860577507,1,0,2.33,38.83%
12731,organization,Unknown,4,3,2,5,203,0.852348288,0,12,0.878477793,1,0,1.11,18.50%
ee05a28e-82ba-4f1d-a60f-68797a422ada,location,Unknown,5,0,5,5,203,0.882016164,-1,0,0.859966164,0,0,1.96,32.67%
82344,political_organization,Unknown,9,0,9,9,59,0.90661718,-1,9,0.878627009,0,0,1.96,32.67%
58,organization,Unknown,8,8,3,11,37,0.900093071,2,9,0.878627009,1,1,-0.017,-0.28%
Cynthia Williams,person,Country_19028,6,4,3,7,110,0.928561273,-1,9,0.878627009,0,0,0.37,6.17%
Armed Robberyâ,Uncategorized,Unknown,6,5,2,7,110,0.935403961,1,9,0.878627009,1,1,-0.017,-0.28%
76,organization,Unknown,5,5,1,6,139,0.865077368,1,17,0.871449309,1,1,3.633000000000001,60.55%
6731,organization,Unknown,51,10,41,51,1,0.867007479,5,9,0.878627009,0,1,0.8329999999999999,13.88%
83,organization,Unknown,17,6,12,18,20,0.837272999,3,0,0.859966164,0,0,0.64,10.67%
Ms. Stephanie Rivera DDS,person,Vesperanda,9,6,6,12,39,0.880961411,-1,12,0.878477793,0,0,0.37,6.17%
665,organization,Unknown,39,11,29,40,2,0.889732309,2,12,0.878477793,0,1,0.8329999999999999,13.88%
89772543,organization,Unknown,7,4,3,7,110,0.848003066,0,13,0.857723572,0,1,-0.387,-6.45%
âunregulatedâ,Uncategorized,Unknown,1,1,0,1,383,0.85003227,-1,1,0.859454355,1,0,3.01,50.17%
aea12579-8802-4b2d-b432-fc35fe4d10d5,location,Unknown,6,3,3,6,139,0.841409048,-1,3,0.865361844,0,0,0.37,6.17%
a7948099-0cab-4b80-8707-2ada931ac288,location,Unknown,1,1,0,1,383,0.80243474,-1,0,0.859966164,0,0,2.27,37.83%
Michael Smith,person,Country_271835,4,0,4,4,379,0.821078297,-1,28,0.853917804,0,0,1.96,32.67%
Melanie Miller,person,Country_271835,2,2,0,2,1014,0.83919402,-1,28,0.853917804,0,0,1.3199999999999998,22.00%
12,organization,Unknown,12,8,4,12,39,0.822734256,4,28,0.853917804,1,0,0.74,12.33%
27,organization,Unknown,3,3,0,3,578,0.818630817,2,28,0.853917804,1,0,1.69,28.17%
Timothy Allen,person,Country_271835,4,0,4,4,379,0.82153981,-1,28,0.853917804,0,0,1.96,32.67%
Nathaniel Jimenez,person,Riodelsol,9,0,9,9,59,0.879006834,-1,22,0.877084116,0,0,1.96,32.67%
3b728c8f-1eaa-4f16-8c63-d3bcffd437bb,location,Unknown,3,0,3,3,578,0.873235033,-1,6,0.871177745,0,0,1.96,32.67%
Turkish Sword Buoy Incorporated Forwading,company,Oceanus,10,5,9,14,42,0.823602376,3,0,0.859966164,1,0,1.38,23.00%
498817,organization,Unknown,3,3,0,3,578,0.864713267,0,6,0.871177745,1,0,2.06,34.33%
2989,organization,Unknown,4,2,2,4,379,0.83911244,0,2,0.858512917,1,0,1.11,18.50%
967,organization,Unknown,2,1,1,2,1014,0.836071065,0,2,0.858512917,0,0,0.37,6.17%
df42b319-be6a-4a2e-b11d-c4da7ecfc01c,location,Unknown,2,2,0,2,1014,0.8200332,-1,1,0.859454355,0,0,1.3199999999999998,22.00%
185106,organization,Unknown,3,2,1,3,578,0.845559587,0,0,0.859966164,0,0,0.37,6.17%
947,organization,Unknown,10,1,9,10,35,0.853910629,1,5,0.870361632,0,0,0.64,10.67%
Gregory Ortiz,person,Vesperand's Bay,4,4,0,4,379,0.83668832,-1,5,0.870361632,0,0,1.3199999999999998,22.00%
Michael Compton,person,Vesperand's Bay,6,3,3,6,139,0.822522417,-1,5,0.870361632,0,0,0.37,6.17%
4348721,organization,Unknown,7,2,5,7,110,0.890581871,0,5,0.870361632,0,0,1.01,16.83%
USS Hershel,vessel,Unknown,3,3,0,3,578,0.970100883,-1,5,0.870361632,0,0,1.3199999999999998,22.00%
b20c0baf-8530-4a84-a5b6-8da324ebebdb,location,Unknown,6,4,2,6,139,0.8454784,-1,5,0.870361632,0,0,0.37,6.17%
26,organization,Unknown,1,1,0,1,383,0.84706634,0,1,0.859454355,1,0,3.01,50.17%
21538,organization,Unknown,26,6,20,26,10,0.802730077,2,17,0.871449309,1,0,1.38,23.00%
860600018,organization,Unknown,26,11,16,27,14,0.867219077,6,4,0.868860929,0,1,-0.1169999999999999,-1.95%
237659945,organization,Unknown,2,2,0,2,1014,0.84548255,0,18,0.865107563,1,0,2.06,34.33%
Victoria Anderson,person,Country_271835,7,6,1,7,110,0.876298479,-1,12,0.878477793,0,0,0.37,6.17%
USCGC Spencer,vessel,Unknown,3,2,1,3,578,0.886460827,-1,32,0.889853513,0,0,0.37,6.17%
WMEC,vessel,Unknown,3,3,0,3,578,0.895677643,-1,32,0.889853513,0,0,1.3199999999999998,22.00%
435054320,organization,Unknown,61,6,61,67,1,0.856100279,10,6,0.871177745,0,0,2.54,42.33%
Cutter,vessel,Unknown,5,4,1,5,203,0.867243938,-1,6,0.871177745,0,0,0.37,6.17%
f21800ca-b3c9-404b-8438-3d75ea84c409,location,Unknown,19,8,11,19,16,0.868858244,-1,17,0.871449309,0,0,1.01,16.83%
1560,organization,Unknown,13,8,6,14,42,0.774204909,0,13,0.857723572,0,1,-0.387,-6.45%
Sept,Uncategorized,Unknown,36,13,25,38,3,0.863813257,14,17,0.871449309,0,1,0.8329999999999999,13.88%
John Gonzalez,person,Nalakond,21,13,9,22,6,0.856798002,-1,4,0.868860929,0,0,1.3199999999999998,22.00%
68703341,organization,Unknown,2,0,2,2,1014,0.902348025,0,13,0.857723572,1,1,1.943,32.38%
57,political_organization,Unknown,30,29,10,39,3,0.910449067,-1,12,0.878477793,0,0,0.37,6.17%
6046437,political_organization,Unknown,5,1,4,5,203,0.85996888,-1,5,0.870361632,0,0,1.01,16.83%
03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987,location,Unknown,2,1,1,2,1014,0.887715435,-1,5,0.870361632,0,0,0.37,6.17%
Act,event,Unknown,13,6,7,13,36,0.874671712,-1,5,0.870361632,0,0,0.37,6.17%
9a651d73-d88f-4f9c-9497-7321ef575c6f,location,Unknown,2,1,1,2,1014,0.83545933,-1,33,0.853022325,0,0,0.37,6.17%
Natasha Phillips,person,Country_271835,2,2,0,2,1014,0.85607178,-1,33,0.853022325,0,0,1.3199999999999998,22.00%
36351742-aff4-4df7-a495-1f1f2c94127a,location,Unknown,4,3,1,4,379,0.856197363,-1,33,0.853022325,0,0,0.37,6.17%
Dakota Hansen,person,Country_951683,2,0,2,2,1014,0.85233325,-1,9,0.878627009,0,0,1.96,32.67%
301,organization,Unknown,5,4,1,5,203,0.858444086,0,9,0.878627009,1,0,1.11,18.50%
James Best,person,Country_271835,2,2,0,2,1014,0.83315715,-1,9,0.878627009,0,0,1.3199999999999998,22.00%
9203,organization,Unknown,2,0,2,2,1014,0.86180405,0,1,0.859454355,1,0,2.7,45.00%
3878194,organization,Unknown,5,1,4,5,203,0.874664024,0,0,0.859966164,1,0,1.75,29.17%
Amy Kent,person,Country_271835,2,2,0,2,1014,0.943100535,-1,0,0.859966164,0,0,1.3199999999999998,22.00%
Conventionâ,Uncategorized,Unknown,2,2,0,2,1014,0.81780681,-1,0,0.859966164,1,0,2.06,34.33%
months years,event,Unknown,2,2,0,2,1014,0.8885137,-1,2,0.858512917,0,0,1.3199999999999998,22.00%
water fishing,vessel,Unknown,1,1,0,1,383,0.8216502,-1,1,0.859454355,0,0,2.27,37.83%
monthsâ,Uncategorized,Unknown,2,0,3,3,578,0.843523167,-1,12,0.878477793,1,0,2.7,45.00%
18,vessel,Unknown,7,8,8,16,28,0.848495344,-1,12,0.878477793,1,0,2.22,37.00%
months,movement,Unknown,45,23,26,49,3,0.872625865,-1,12,0.878477793,0,0,0.37,6.17%
Emily Johnson,person,Country_271835,5,0,5,5,203,0.852599372,-1,2,0.858512917,0,0,1.96,32.67%
94,organization,Unknown,3,2,1,3,578,0.847984987,1,2,0.858512917,1,0,0.74,12.33%
e85c691a-2adc-4094-8d29-5ea328486951,location,Unknown,6,1,5,6,139,0.87702395,-1,9,0.878627009,0,0,1.01,16.83%
760079,organization,Unknown,4,2,2,4,379,0.832198165,1,1,0.859454355,1,0,0.74,12.33%
3009706,organization,Unknown,2,2,0,2,1014,0.83467705,0,19,0.833679999,1,0,3.01,50.17%
41870892-4565-42cd-9374-8665d01e9aa9,location,Unknown,23,9,15,24,5,0.858560319,-1,13,0.857723572,0,0,1.96,32.67%
Susan Erickson,person,Country_271835,2,2,0,2,1014,0.83192555,-1,0,0.859966164,0,0,1.3199999999999998,22.00%
80191,organization,Unknown,8,5,4,9,59,0.862087779,1,8,0.854248151,1,1,-0.017,-0.28%
0f5fd4f9-1683-464e-9459-a4488de5064b,location,Unknown,7,4,3,7,110,0.84899825,-1,7,0.862319347,0,0,0.37,6.17%
cookies,event,Unknown,4,2,2,4,379,0.887111258,-1,1,0.859454355,0,0,0.37,6.17%
Ashley Davis,person,Syrithania,2,1,1,2,1014,0.84473362,-1,3,0.865361844,0,0,0.37,6.17%
924,organization,Unknown,13,8,6,14,42,0.744832132,0,3,0.865361844,0,0,0.37,6.17%
865275,organization,Unknown,14,7,10,17,18,0.882460796,3,3,0.865361844,0,0,0.64,10.67%
449308,organization,Unknown,3,0,3,3,578,0.838875867,0,2,0.858512917,1,0,2.7,45.00%
28,organization,Unknown,8,6,5,11,37,0.857758906,0,18,0.865107563,1,0,1.11,18.50%
23777,organization,Unknown,10,8,3,11,37,0.868393249,0,20,0.860504275,1,1,0.353,5.88%
518,organization,Unknown,5,5,0,5,203,0.856494734,1,1,0.859454355,0,0,0.95,15.83%
