company_id,BOCnt,CCCnt,tot_revenue,avg_revenue,size
"Adams, Mccall and Smith",1,0,0.0,0.0,1
"Adams, Munoz and Carson",1,0,0.0,0.0,1
"Adams, Nunez and Bauer",0,1,0.0,0.0,1
"Adams, Ramos and Patel",1,0,0.0,0.0,1
"Adams, Suarez and Bailey",1,0,0.0,0.0,1
"Adams, Taylor and Brown",1,0,0.0,0.0,1
Adams-Decker,0,1,0.0,0.0,1
Adams-Duran,1,0,0.0,0.0,1
Adams-Gilmore,1,0,0.0,0.0,1
Adams-Howell,1,0,0.0,0.0,1
Adams-Knight,1,0,0.0,0.0,1
Adams-Pope,1,0,0.0,0.0,1
Adams-Reyes,0,1,0.0,0.0,1
Adams-Russell,1,0,0.0,0.0,1
Adams-Schmidt,1,0,0.0,0.0,1
Adams-Stanley,0,1,0.0,0.0,1
Adams-Stone,0,1,0.0,0.0,1
Adams-Wilson,2,0,0.0,0.0,2
"Adkins, Long and Elliott",1,0,0.0,0.0,1
Adkins-Robinson,0,1,0.0,0.0,1
Adkins-Robles,0,1,0.0,0.0,1
Adkins-Shepherd,1,0,0.0,0.0,1
Adkins-Simmons,1,0,0.0,0.0,1
Adriatic  Nautical CJSC Holdings,0,1,14181.4208,14181.4208,1
Adriatic  Seabass LC Transportation,1,1,17566.6728,17566.6728,2
Adriatic Catch Ges.m.b.H. Forwading,1,1,11277.1793,11277.1793,2
Adriatic Catch Ges.m.b.H. Marine biology,2,1,0.0,0.0,3
Adriatic Catch Ltd Transport,4,1,0.0,0.0,5
Adriatic Catch Ltd. Liability Co,0,1,20066.6728,20066.6728,1
Adriatic Catch S.A. de C.V.,5,1,8869.44,1773.888,6
Adriatic Catch SRL Line,0,1,0.0,0.0,1
Adriatic Catch SRL Seal,1,1,54603.9287,54603.9287,2
Adriatic Mackerel Ges.m.b.H. Family,0,1,0.0,0.0,1
Adriatic Mackerel Ges.m.b.H. Worldwide,4,1,74266.1809,18566.545225,5
Adriatic Mackerel N.V. Transport,0,1,113379.1323,113379.1323,1
Adriatic Squid AG Express,1,1,0.0,0.0,2
Adriatic Squid AS Holdings,16,1,16451.9034,1028.2439625,17
Adriatic Squid Corporation Buoy,0,1,0.0,0.0,1
Adriatic Squid Limited Liability Company Freight,0,1,24066.6728,24066.6728,1
Adriatic Squid Ltd. Liability Co,3,2,36747.4497,12249.1499,5
Adriatic Tuna GmbH & Co. KG,0,1,29366.6728,29366.6728,1
Adriatic Tuna NV Cod,0,1,0.0,0.0,1
Adriatic Tuna Pic Express,0,1,0.0,0.0,1
Adriatic Tuna Seabass BV Transit,3,1,91222.0779,30407.3593,4
Adriatic Tuna Shipyard GmbH United,1,1,221337.9812,221337.9812,2
Agua Express Marine mist,0,1,14466.6728,14466.6728,1
Agua Limited Liability Company Services,1,1,10254.1095,10254.1095,2
Agua Ltd. Corporation Carriers,0,1,7973.9168,7973.9168,1
Agua Ltd. Liability Co,11,2,17133.131500000003,1557.5574090909097,13
Agua N.V. Marine life,15,1,102092.7612,6806.18408,16
Aguamarina Beach AB Industrial,0,1,170666.6728,170666.6728,1
Aguamarina Jetty GmbH & Co. KG Logistics,0,1,0.0,0.0,1
Aguamarina Limited Liability Company,0,1,55045.4068,55045.4068,1
Aguamarina S.A. de C.V.,22,1,84857.8698,3857.1759,23
Aguilar Group,2,0,0.0,0.0,2
Aguilar Inc,1,0,0.0,0.0,1
Aguilar LLC,1,0,108190.6244,108190.6244,1
Aguilar Ltd,0,1,0.0,0.0,1
Aguilar and Sons,0,1,0.0,0.0,1
"Aguilar, Brown and Haynes",1,0,0.0,0.0,1
"Aguilar, Gray and Murray",1,0,0.0,0.0,1
"Aguilar, Jones and Sanchez",0,1,0.0,0.0,1
"Aguilar, Powell and Sandoval",1,0,0.0,0.0,1
Aguilar-Blake,1,0,0.0,0.0,1
Aguilar-Hoover,1,0,0.0,0.0,1
Aguilar-Olson,1,0,0.0,0.0,1
Aguilar-Torres,1,0,0.0,0.0,1
Aguirre Inc,1,0,0.0,0.0,1
Aguirre Ltd,1,0,0.0,0.0,1
Aguirre PLC,1,1,0.0,0.0,2
"Aguirre, Friedman and Miller",0,1,0.0,0.0,1
"Aguirre, Pierce and Shelton",1,0,0.0,0.0,1
"Aguirre, Reese and Munoz",1,0,0.0,0.0,1
Aguirre-Burnett,0,1,0.0,0.0,1
Albertine Rift  Company Enterprises,0,1,0.0,0.0,1
Albertine Rift  LLC Line,2,1,5315.3246,2657.6623,3
Albertine Rift  Ltd. Corporation,0,1,325666.6728,325666.6728,1
Albertine Rift  NV Family,3,1,9760.8727,3253.624233333333,4
Albertine Rift  OJSC Transport,1,1,0.0,0.0,2
Alexander Group,1,0,0.0,0.0,1
Alexander Inc,0,1,0.0,0.0,1
Alexander LLC,2,0,0.0,0.0,2
Alexander Ltd,1,0,8272.0006,8272.0006,1
Alexander PLC,1,0,0.0,0.0,1
"Alexander, Greene and Boyd",1,0,0.0,0.0,1
"Alexander, Greer and Roberts",1,0,0.0,0.0,1
"Alexander, Jackson and Contreras",1,0,0.0,0.0,1
"Alexander, Johnson and Thomas",1,0,0.0,0.0,1
"Alexander, Lopez and Taylor",1,0,0.0,0.0,1
"Alexander, Simmons and Cook",0,1,0.0,0.0,1
"Alexander, Wheeler and Bowen",1,0,0.0,0.0,1
Alexander-Lewis,1,0,0.0,0.0,1
Alexander-Robbins,0,1,0.0,0.0,1
Alexander-Smith,1,0,0.0,0.0,1
Ali Ltd,1,0,0.0,0.0,1
Ali-Barrett,1,0,0.0,0.0,1
Allen Group,1,2,0.0,0.0,3
Allen LLC,1,0,0.0,0.0,1
Allen Ltd,2,2,242308.1819,121154.09095,4
Allen PLC,1,1,87448.9962,87448.9962,2
Allen and Sons,2,0,0.0,0.0,2
"Allen, Adams and Davis",1,0,0.0,0.0,1
"Allen, Anderson and Petty",1,0,0.0,0.0,1
"Allen, Day and Johnson",0,1,0.0,0.0,1
"Allen, Erickson and Valentine",0,1,0.0,0.0,1
"Allen, Hayes and Smith",1,0,0.0,0.0,1
"Allen, Lam and Gibbs",1,0,0.0,0.0,1
"Allen, Luna and White",0,1,0.0,0.0,1
"Allen, Munoz and Hurley",0,1,0.0,0.0,1
"Allen, Robertson and Stevens",1,0,0.0,0.0,1
"Allen, Simon and Wang",0,1,0.0,0.0,1
"Allen, Thompson and Gonzales",1,0,0.0,0.0,1
Allen-Adams,1,0,0.0,0.0,1
Allen-Barrera,1,0,0.0,0.0,1
Allen-Bishop,1,0,0.0,0.0,1
Allen-Carlson,1,0,0.0,0.0,1
Allen-Chavez,1,0,0.0,0.0,1
Allen-Estrada,1,0,0.0,0.0,1
Allen-Gonzalez,1,0,0.0,0.0,1
Allen-Griffin,1,0,0.0,0.0,1
Allen-Lewis,1,0,0.0,0.0,1
Allen-Lynch,1,0,0.0,0.0,1
Allen-Mayer,1,0,0.0,0.0,1
Allen-Moreno,0,1,0.0,0.0,1
Allen-Rowe,1,0,0.0,0.0,1
Allen-Santiago,1,0,0.0,0.0,1
Allen-Spence,1,0,0.0,0.0,1
Allen-Williams,0,1,0.0,0.0,1
Allison LLC,1,0,0.0,0.0,1
Allison Ltd,0,2,0.0,0.0,2
Allison and Sons,1,1,0.0,0.0,2
Alvarado Group,1,0,0.0,0.0,1
Alvarado LLC,2,0,0.0,0.0,2
Alvarado Ltd,1,0,0.0,0.0,1
Alvarado PLC,1,0,0.0,0.0,1
"Alvarado, Dodson and Terry",1,0,0.0,0.0,1
"Alvarado, Hall and Knox",0,1,0.0,0.0,1
"Alvarado, Stewart and Kelly",1,0,0.0,0.0,1
Alvarado-Cooper,0,1,0.0,0.0,1
Alvarez Group,1,0,0.0,0.0,1
Alvarez LLC,2,0,0.0,0.0,2
Alvarez Ltd,1,1,0.0,0.0,2
Alvarez PLC,2,0,0.0,0.0,2
Alvarez and Sons,0,1,0.0,0.0,1
"Alvarez, Johnson and Mitchell",1,0,0.0,0.0,1
"Alvarez, Sanders and Thomas",1,0,0.0,0.0,1
"Alvarez, Young and Ramos",1,0,0.0,0.0,1
Alvarez-Diaz,0,1,0.0,0.0,1
Alvarez-Frye,1,0,0.0,0.0,1
Alvarez-Johnson,1,0,0.0,0.0,1
Alvarez-Obrien,0,1,0.0,0.0,1
Alvarez-Sweeney,0,1,0.0,0.0,1
Alvarez-Thomas,1,0,0.0,0.0,1
Alvarez-White,1,0,0.0,0.0,1
Amerigo - AS Brothers,0,1,0.0,0.0,1
Amerigo Incorporated Marine ecology,2,1,5669.9016,2834.9508,3
Amerigo Limited Liability Company,0,1,0.0,0.0,1
Amerigo River S.p.A. Express,3,1,4737.3142,1579.1047333333331,4
Amur  Estuary Pic Cargo,0,1,118666.6728,118666.6728,1
Amur  GmbH & Co. KG,5,1,43756.7777,8751.35554,6
Amur  GmbH & Co. KG Distribution,0,1,13536.6728,13536.6728,1
Amur  Laksa S.A. de C.V. Investment,0,1,0.0,0.0,1
Amur  Ltd. Liability Co,2,1,4666.6728,2333.3364,3
Ancla Azul SRL Coral,0,1,43366.6728,43366.6728,1
Ancla Azul ОАО Holdings,2,2,656075.2213,328037.61065,4
Ancla Marina Limited Liability Company,1,1,112195.4845,112195.4845,2
Ancla Marina Ltd. Liability Co Harbor,0,1,506612.5008,506612.5008,1
Ancla de Oro & AS Carriers,0,1,0.0,0.0,1
Ancla de Oro AB,0,1,0.0,0.0,1
Ancla de Oro Anchor,2,1,8647.507,4323.7535,3
Ancla de Oro Co,0,1,4736.6728,4736.6728,1
Ancla de Oro Kga Flounder,0,1,10106.6728,10106.6728,1
Ancla de Oro N.V. Holdings,0,1,0.0,0.0,1
Ancla de Oro Pelican,0,1,5066.6728,5066.6728,1
Ancla de Oro Rybachit N.V. & Son's,1,0,5168.8373,5168.8373,1
Ancla de Oro Transit,4,1,20755.2602,5188.81505,5
Ancla de Oro United Yacht,0,1,0.0,0.0,1
Ancla del Este A/S,0,1,0.0,0.0,1
Ancla del Este AG,2,1,21491.5663,10745.78315,3
Ancla del Este AS,4,1,7689.0847,1922.271175,5
Ancla del Este Company Industrial,0,1,5126.6728,5126.6728,1
Ancla del Este Company Marine conservation,0,1,5036.6728,5036.6728,1
Ancla del Este Incorporated Solutions,5,1,8634.6416,1726.9283200000002,6
Ancla del Este LC,0,2,50643.3456,25321.6728,2
Ancla del Este LLC,1,2,93417.2718,93417.2718,3
Ancla del Este Ltd. Liability Co,3,1,7164.9234,2388.3078,4
Ancla del Este Merchants,0,1,10396.6728,10396.6728,1
Ancla del Este OJSC,2,1,16366.6728,8183.3364,3
Ancla del Este Sp Fish,15,0,130211.6728,8680.778186666666,15
Ancla del Este Starfish,0,1,23066.6728,23066.6728,1
Ancla del Este Tsunami,4,1,11010.891,2752.72275,5
Ancla del Este ОАО,8,1,130822.6779,16352.8347375,9
Ancla del Mar Corp,2,1,0.0,0.0,3
Ancla del Mar Express,4,1,0.0,0.0,5
Ancla del Mar LC,2,1,8853.5085,4426.75425,3
Ancla del Mar Pic Worldwide,3,1,4666.6728,1555.5576,4
Andaman  GmbH & Co. KG Export,0,1,9042.3879,9042.3879,1
Andaman  Jetty S.A. de C.V. Marine ecology,2,1,8741.7159,4370.85795,3
Andaman  Roe BV Import,0,1,15866.6728,15866.6728,1
Andersen and Sons,2,0,0.0,0.0,2
"Andersen, Warren and Jacobs",1,0,0.0,0.0,1
Andersen-Beck,1,0,0.0,0.0,1
Andersen-Hudson,0,1,0.0,0.0,1
Andersen-Vasquez,1,0,0.0,0.0,1
Anderson Group,4,1,1662235.3668,415558.8417,5
Anderson Inc,3,2,0.0,0.0,5
Anderson Ltd,2,1,26651.5774,13325.7887,3
Anderson PLC,2,0,0.0,0.0,2
Anderson and Sons,2,2,0.0,0.0,4
"Anderson, Ayers and Hall",0,1,0.0,0.0,1
"Anderson, Castaneda and Clark",1,0,0.0,0.0,1
"Anderson, Clark and Jackson",0,1,0.0,0.0,1
"Anderson, Coleman and Boyd",1,0,0.0,0.0,1
"Anderson, Daniels and Osborne",1,0,0.0,0.0,1
"Anderson, Gallagher and Carter",0,1,0.0,0.0,1
"Anderson, Garcia and Lee",0,1,0.0,0.0,1
"Anderson, Hamilton and Mccann",0,1,0.0,0.0,1
"Anderson, Hernandez and Foster",1,0,0.0,0.0,1
"Anderson, Hernandez and Le",0,1,0.0,0.0,1
"Anderson, Hull and Torres",1,0,0.0,0.0,1
"Anderson, James and Burton",0,1,0.0,0.0,1
"Anderson, Johnson and Jones",1,0,0.0,0.0,1
"Anderson, Johnson and Rice",1,0,0.0,0.0,1
"Anderson, Johnson and Sanchez",1,0,0.0,0.0,1
"Anderson, Kelley and Mccormick",1,0,0.0,0.0,1
"Anderson, Lee and Huang",1,0,0.0,0.0,1
"Anderson, Leon and Schneider",0,1,0.0,0.0,1
"Anderson, Lewis and Dalton",1,0,0.0,0.0,1
"Anderson, Nelson and Frye",0,1,0.0,0.0,1
"Anderson, Nelson and Ryan",1,0,0.0,0.0,1
"Anderson, Sanders and Steele",0,1,0.0,0.0,1
"Anderson, Tucker and Sims",1,0,0.0,0.0,1
"Anderson, Vega and Thomas",0,1,0.0,0.0,1
"Anderson, Williams and Perez",0,1,0.0,0.0,1
Anderson-Bell,1,0,0.0,0.0,1
Anderson-Brewer,1,0,0.0,0.0,1
Anderson-Carter,1,0,0.0,0.0,1
Anderson-Charles,1,0,0.0,0.0,1
Anderson-Coleman,1,0,0.0,0.0,1
Anderson-Crane,1,0,0.0,0.0,1
Anderson-Crawford,1,0,0.0,0.0,1
Anderson-Harrison,1,0,0.0,0.0,1
Anderson-Mccoy,2,0,0.0,0.0,2
Anderson-Mcpherson,1,0,0.0,0.0,1
Anderson-Miller,1,0,0.0,0.0,1
Anderson-Murphy,1,0,0.0,0.0,1
Anderson-Myers,0,1,0.0,0.0,1
Anderson-Owen,1,0,0.0,0.0,1
Anderson-Perez,0,1,0.0,0.0,1
Anderson-Robinson,1,0,0.0,0.0,1
Anderson-Ross,1,0,0.0,0.0,1
Anderson-Snyder,1,0,0.0,0.0,1
Anderson-Stone,1,0,0.0,0.0,1
Anderson-Sullivan,1,0,0.0,0.0,1
Anderson-Tapia,0,1,0.0,0.0,1
Anderson-Zimmerman,1,0,0.0,0.0,1
Andhra Pradesh   BV Marine life,0,1,6206.6728,6206.6728,1
Andhra Pradesh   CJSC Merchants,3,1,16680.4542,5560.1514,4
Andhra Pradesh   Corporation Holdings,0,1,23966.6728,23966.6728,1
Andhra Pradesh   Incorporated International,0,1,12006.6728,12006.6728,1
Andhra Pradesh   LC Cargo,0,1,164666.6728,164666.6728,1
Andhra Pradesh   Limited Liability Company,4,1,787121.4248,196780.3562,5
Andhra Pradesh   Limited Liability Company Industrial,0,1,11026.6728,11026.6728,1
Andhra Pradesh   Ltd. Corporation,2,1,0.0,0.0,3
Andhra Pradesh   Oyj Investment,0,1,5636.6728,5636.6728,1
Andhra Pradesh   Pic Dredge,0,1,0.0,0.0,1
Andhra Pradesh   Plc Cargo,0,1,0.0,0.0,1
Andhra Pradesh   Plc Line,3,1,0.0,0.0,4
Andhra Pradesh   S.A. de C.V.,4,1,25289.4664,6322.3666,5
Andhra Pradesh   Sextant Oyj Forwading,10,0,409918.6728,40991.86728,10
Andhra Pradesh   Tidal flat Pic Express,0,1,46966.6728,46966.6728,1
Andhra Pradesh  - Ltd. Corporation International,0,1,50566.6728,50566.6728,1
Andhra Pradesh  Limited Liability Company Ray,1,0,0.0,0.0,1
Andhra Pradesh  Ltd. Liability Co,0,1,20266.6728,20266.6728,1
Andhra Pradesh  OJSC Marine conservation,1,1,25757.5877,25757.5877,2
Andhra Pradesh  OJSC Marine ecology,3,1,42301.7569,14100.585633333334,4
Andhra Pradesh  Pic Laksa,1,1,12046.6728,12046.6728,2
Andhra Pradesh  Sp Worldwide,26,1,670483.1661,25787.81408076924,27
Andrade Ltd,1,0,0.0,0.0,1
Andrade-Berger,1,0,0.0,0.0,1
Andrews LLC,1,0,72609.0062,72609.0062,1
Andrews Ltd,0,1,0.0,0.0,1
Andrews PLC,0,1,0.0,0.0,1
Andrews and Sons,0,1,0.0,0.0,1
"Andrews, Finley and Mcdaniel",1,0,0.0,0.0,1
"Andrews, Leach and Jordan",1,0,0.0,0.0,1
"Andrews, Martin and Johnson",0,1,0.0,0.0,1
"Andrews, Padilla and Wells",0,1,0.0,0.0,1
"Andrews, Rodriguez and Potts",1,0,0.0,0.0,1
"Andrews, Steele and Johnson",1,0,0.0,0.0,1
"Andrews, Woods and Key",1,0,0.0,0.0,1
Andrews-Nichols,1,0,0.0,0.0,1
Andrews-Perry,0,1,0.0,0.0,1
Angrapa America Inc Delivery,0,1,0.0,0.0,1
Angrapa Co Marine biology,0,1,0.0,0.0,1
Angrapa GmbH & Co. KG Overseas,0,1,5710.3487,5710.3487,1
Angrapa Limited Liability Company,0,1,0.0,0.0,1
Angrapa S.A. de C.V.,6,3,72840.0446,12140.007433333332,9
Anthony Green  Ltd. Corporation Brothers,0,1,54866.6728,54866.6728,1
Anthony Ltd. Liability Co Shipyard,0,1,18008.116,18008.116,1
Anthony Pelican Corporation Export,2,1,0.0,0.0,3
Anthony S.A. de C.V. Carriers,0,1,0.0,0.0,1
"Anthony, Morris and Johnson",0,1,0.0,0.0,1
"Anthony, Vazquez and Melendez",1,0,0.0,0.0,1
Anthony-Jones,1,0,0.0,0.0,1
Anthony-Mccarthy,1,0,0.0,0.0,1
Anthony-Page,1,0,0.0,0.0,1
Aqua  Marine biology AB Marine biology,0,1,75995.9589,75995.9589,1
Aqua Advancements AB Line,0,1,9476.6728,9476.6728,1
Aqua Advancements LC Jetty,0,1,21496.0701,21496.0701,1
Aqua Advancements Sashimi SE Express,2,1,115004666.7,57502333.35,3
Aqua Adventures GmbH Worldwide,1,1,14626.6728,14626.6728,2
Aqua Adventures Ltd. Corporation,1,1,0.0,0.0,2
Aqua Adventures Ltd. Liability Co,1,1,7439.4772,7439.4772,2
Aqua Adventures N.V. Forwading,4,1,62698.2743,15674.568575,5
Aqua Adventures Seagrass Kga Cargo,1,1,52110.3245,52110.3245,2
Aqua Ambassadors Corporation Consulting,2,1,21298.6638,10649.3319,3
Aqua Ambassadors Ltd. Liability Co Transit,0,1,21066.8895,21066.8895,1
Aqua Ambassadors Sp Family,6,1,17078.3129,2846.385483333333,7
Aqua Ambassadors Sp Transit,12,1,0.0,0.0,13
Aqua Anchor AS Shipping,0,1,0.0,0.0,1
Aqua Anchor Inc Seaport,0,1,17717.6024,17717.6024,1
Aqua Anchor Kga Holdings,6,1,10690.7782,1781.7963666666667,7
Aqua Anchor Ltd Line,2,1,6336.3901,3168.19505,3
Aqua Anchor Pic Solutions,2,1,0.0,0.0,3
Aqua Anchor Sagl Marine sanctuary,15,1,230069.7363,15337.982419999998,16
Aqua Anchor Salt spray Incorporated Marine biology,1,0,0.0,0.0,1
Aqua Anchor Salt spray Ltd Shipping,0,1,14666.6728,14666.6728,1
Aqua Aura Limited Liability Company Services,0,1,19562.8196,19562.8196,1
Aqua Aura Nori Ltd. Corporation Brothers,0,1,41001.1177,41001.1177,1
Aqua Aura OJSC Cargo,0,1,60624.3572,60624.3572,1
Aqua Aura SE Marine life,36,11,149590.1157,4155.2809916666665,47
Aqua Aura and Kga Family,2,1,0.0,0.0,3
Aqua Azul LC International,3,0,469225.8061,156408.60203333333,3
Aqua Azul Pic Overseas,0,2,0.0,0.0,2
Aqua Azul Services Manatee,0,1,5136.6728,5136.6728,1
Aqua Gourmet AG Consulting,2,1,10943.4861,5471.74305,3
Aqua Gourmet CJSC Family,0,1,10536.6728,10536.6728,1
Aqua Gourmet Caviar Corporation Shipping,0,1,435770.7204,435770.7204,1
Aqua Gourmet Company Line,2,1,0.0,0.0,3
Aqua Gourmet Corp Solutions,0,1,74660.2266,74660.2266,1
Aqua Gourmet Dry dock,0,1,0.0,0.0,1
Aqua Gourmet Incorporated Creek,30,1,0.0,0.0,31
Aqua Gourmet NV Worldwide,0,1,11326.6728,11326.6728,1
Aqua Mermaid NV and Son's,3,0,5113.1576,1704.3858666666663,3
Aqua Mermaid Pic Overseas,4,0,8995.677,2248.91925,4
Aqua Ventures A/S Transport,0,1,0.0,0.0,1
Aqua Ventures Incorporated Enterprises,1,1,19085.9088,19085.9088,2
Aqua Ventures LLC Export,2,1,43118.5223,21559.26115,3
Aqua Ventures Ltd. Liability Co Shipping,0,1,0.0,0.0,1
Aqua Ventures Plc and Son's,0,1,5296.6728,5296.6728,1
Aqua Ventures Ray A/S Services,0,1,0.0,0.0,1
Aqua Ventures S.A. de C.V. Seafood,3,1,26108.1993,8702.7331,4
Aqua Ventures Sp Overseas,5,1,35522.2876,7104.457520000001,6
AquaBite Port SE Logistics,2,1,12996.9558,6498.4779,3
AquaBlue Coral Reef N.V. Delivery,0,1,17037.1871,17037.1871,1
AquaBlue Sailboat LC Express,3,0,16210.6839,5403.5613,3
AquaBlue Wharf A/S & Son's,0,1,0.0,0.0,1
AquaCuisine  GmbH & Co. KG Services,0,1,799087.1576,799087.1576,1
AquaCuisine  Ltd. Liability Co,2,0,0.0,0.0,2
AquaCuisine AG Marine mist,7,1,0.0,0.0,8
AquaDelicious GmbH & Co. KG,3,1,17112.0458,5704.015266666666,4
AquaDelicious Kelp ОАО Transit,0,1,0.0,0.0,1
AquaDelicious S.A. de C.V. Overseas,7,1,1635565.686,233652.24085714287,8
AquaDelight Corp Marine ecology,0,1,0.0,0.0,1
AquaDelight S.A. de C.V. Delivery,2,1,35988.7128,17994.3564,3
AquaFare Seaside SRL Express,2,0,4715.7744,2357.8872,2
AquaFin Eel S.A. de C.V. Marine sanctuary,2,1,7385.9737,3692.98685,3
AquaFresh Foods Tugboat GmbH Delivery,0,1,80459.1606,80459.1606,1
AquaFresh Foods Yacht SRL Freight,0,1,6046.6728,6046.6728,1
AquaTrek Otter S.A. de C.V. Consultants,4,1,0.0,0.0,5
Aquatic Adventures GmbH & Co. KG,4,1,12277.1634,3069.29085,5
Aquatic Adventures GmbH Brothers,3,1,143328.2831,47776.09436666666,4
Aquatic Adventures Holdings Leska,0,1,29666.6728,29666.6728,1
Aquatic Adventures S.A. de C.V.,0,1,11556.6728,11556.6728,1
Aquatic Adventures SRL Distribution,0,1,11986.6728,11986.6728,1
Aquatic Adventures ОАО Transit,0,1,0.0,0.0,1
Arabian Sea  Oyj Holdings,1,1,0.0,0.0,2
Arabian Sea  SE Logistics,0,1,16566.6728,16566.6728,1
Arabian Sea  Sp Express,2,1,91606.205,45803.1025,3
Arawak AG Marine biology,0,1,10316.6728,10316.6728,1
Arawak Limited Liability Company,2,1,135987.6728,67993.8364,3
Arawak Ltd. Liability Co,2,1,0.0,0.0,3
Arawak Pelican Ltd. Liability Co and Son's,2,1,9757.0215,4878.51075,3
Arawak S.A. de C.V.,0,1,5636.6728,5636.6728,1
Arawak Sagl Marine sanctuary,2,1,0.0,0.0,3
Arawak Surf SRL Services,0,1,110666.6728,110666.6728,1
"Archer, Andrews and Bennett",1,0,0.0,0.0,1
"Archer, Barnett and Jackson",1,0,0.0,0.0,1
"Archer, Brown and Hunt",1,0,0.0,0.0,1
"Archer, Jordan and Andrews",1,0,0.0,0.0,1
"Arellano, Lane and Mcdonald",1,0,0.0,0.0,1
Arellano-Morales,1,0,0.0,0.0,1
Arena Azul Company International,2,1,4736.6728,2368.3364,3
Arena Azul LC Cargo,3,1,77866.6728,25955.5576,4
Arena Azul Ltd. Corporation,0,1,75466.6728,75466.6728,1
Arena Azul Pic Shipping,0,1,0.0,0.0,1
Arena Azul S.A. de C.V.,2,1,5084.8784,2542.4392,3
Arena Azul Shark LLC Marine life,3,1,40338.5156,13446.171866666666,4
Arena de Coral AS Forwading,0,1,14296.6728,14296.6728,1
Arena de Coral Enterprises,0,1,5476.6728,5476.6728,1
Arena de Coral Ltd. Corporation Forwading,0,1,5636.6728,5636.6728,1
