id,product_services,revenue_omu,type,country,related_to_food,related_to_seafood,company_type
"Abbott, Garcia and Lowe",,,Beneficial Owner,ZH,,,NULL
"Abbott, Guzman and Harper",,,Beneficial Owner,ZH,,,NULL
"Abbott, Sullivan and Calderon",,,Beneficial Owner,ZH,,,NULL
"Abbott, Williams and Dillon",,16349.9264,Company,ZH,,,NULL
Abbott-Humphrey,,,Company Contacts,ZH,,,NULL
Abbott-Richardson,,,Company Contacts,ZH,,,NULL
Abbott-Singh,,,Beneficial Owner,ZH,,,NULL
Abbott-Thompson,,,Company Contacts,ZH,,,NULL
Acevedo and Sons,,,Beneficial Owner,ZH,,,Sons
Acevedo Group,,,Beneficial Owner,ZH,,,Group
Acevedo Inc,,,Beneficial Owner,ZH,,,Inc
Acevedo PLC,,,Beneficial Owner,ZH,,,PLC
"Acevedo, Turner and Kelly",,,Beneficial Owner,ZH,,,NULL
Acevedo-Hall,Snapchat; Spectacles,4606513.673,Company,ZH,0,0,NULL
Acevedo-Owens,,,Company Contacts,ZH,,,NULL
Acevedo-Reid,,15098.2003,Company,ZH,,,NULL
Acevedo-Weaver,,,Beneficial Owner,ZH,,,NULL
Acosta and Sons,,,Company Contacts,ZH,,,Sons
Acosta and Sons,,,Company Contacts,ZH,,,Sons
Acosta Inc,"Specializes in the design and development of fashion-forward footwear, apparel, and handbags/accessories to its customers across the globe; Has decades of manufacturing experience and has excelled in every category of the footwear industry; Responsible for designing and producing a widespread assortment of fashion-forward footwear from women, kids, and men's for brands and private labels; Focuses on the core products comprising best sellers' styles year-round, along with a wide variety of fashion prevailing trends has allowed it to capitalize the market; Global reputation and presence in the international market derive from its ability to balance the dynamics of market trends with its strong fashion design principles; Manages all aspects of design; production, operations and distribution in-house so it can maintain the exclusivity of its designs and provide the best possible service to its customers",164758.8814,Company,ZH,0,0,Inc
Acosta Inc,,,Beneficial Owner,ZH,,,Inc
Acosta LLC,,,Company Contacts,ZH,,,Limited
Acosta Ltd,,4906.0501,Company,ZH,,,Limited
Acosta PLC,,,Beneficial Owner,ZH,,,PLC
"Acosta, Bailey and Armstrong",,,Company Contacts,ZH,,,NULL
"Acosta, Galvan and Anderson",,,Beneficial Owner,ZH,,,NULL
"Acosta, Giles and Pace",,,Company Contacts,ZH,,,NULL
"Acosta, Proctor and Meyers","Frozen vegetables (sliced and diced); juices, jams and jellies; meats such as chicken, beef, pork, lamb; fish and seafood; and other deep freeze products as well as dairy products such as ice cream and yogurt",7226.2271,Company,ZH,1,1,NULL
"Acosta, Rodriguez and Graves",,,Beneficial Owner,ZH,,,NULL
"Acosta, Taylor and Collins",,,Beneficial Owner,ZH,,,NULL
"Acosta, White and Patel",Industrial inorganic chemicals,26936.5372,Company,ZH,0,0,NULL
Acosta-Black,,,Company Contacts,ZH,,,NULL
Acosta-Escobar,,,Company Contacts,ZH,,,NULL
Acosta-Fuller,,,Company Contacts,ZH,,,NULL
Acosta-Gallegos,,,Beneficial Owner,ZH,,,NULL
Acosta-Waters,,,Beneficial Owner,ZH,,,NULL
Adair - SE Transport,Leather cases and bags,4810.3628,Company,Marebak,0,0,SE
Adair Corporation Marine biology,,8432.6478,Company,Marebak,,,Co
Adair Cruise ship GmbH Logistics,,,Company,Osterivaro,,,Ges.m.b.H
Adair Ltd. Liability Co,"Plastic electronic enclosures; Aftermarket automotive products including customizing and manufacturing key fobs, license plate frames, and trailer hitch covers",36766.6728,Company,Oceanus,0,0,Limited
Adair S.A. de C.V.,"Frozen cephalopod products (soft cuttlefish, squid and octopus)",33308.6865,Company,Mawazam,1,1,S.A. de C.V.
Adams and Sons,,,Company,ZH,,,Sons
Adams and Sons,,,Beneficial Owner,ZH,,,Sons
Adams and Sons,,,Beneficial Owner,ZH,,,Sons
Adams and Sons,,,Company Contacts,ZH,,,Sons
Adams Group,A range of fish and other related seafood products,9056.2418,Company,ZH,1,1,Group
Adams Group,,,Beneficial Owner,ZH,,,Group
Adams Group,,,Beneficial Owner,ZH,,,Group
Adams Group,,,Beneficial Owner,ZH,,,Group
Adams Group,,,Beneficial Owner,ZH,,,Group
Adams Group,,,Company Contacts,ZH,,,Group
Adams Group,,,Company Contacts,ZH,,,Group
Adams Group,,,Company Contacts,ZH,,,Group
Adams Group,,,Company Contacts,ZH,,,Group
Adams Inc,,,Beneficial Owner,ZH,,,Inc
Adams Inc,,,Beneficial Owner,ZH,,,Inc
Adams Inc,,,Beneficial Owner,ZH,,,Inc
Adams Inc,,,Company Contacts,ZH,,,Inc
Adams LLC,,,Company,ZH,,,Limited
Adams LLC,,,Beneficial Owner,ZH,,,Limited
Adams LLC,,,Beneficial Owner,ZH,,,Limited
Adams LLC,,,Beneficial Owner,ZH,,,Limited
Adams LLC,,,Company Contacts,ZH,,,Limited
Adams Ltd,,,Beneficial Owner,ZH,,,Limited
Adams Ltd,,,Beneficial Owner,ZH,,,Limited
Adams Ltd,,,Beneficial Owner,ZH,,,Limited
Adams Ltd,,,Company Contacts,ZH,,,Limited
Adams Ltd,,,Company Contacts,ZH,,,Limited
Adams Ltd,,,Company Contacts,ZH,,,Limited
Adams PLC,,,Beneficial Owner,ZH,,,PLC
Adams PLC,,,Beneficial Owner,ZH,,,PLC
Adams PLC,,,Beneficial Owner,ZH,,,PLC
Adams PLC,,,Beneficial Owner,ZH,,,PLC
Adams PLC,,,Beneficial Owner,ZH,,,PLC
Adams PLC,,,Company Contacts,ZH,,,PLC
Adams PLC,,,Company Contacts,ZH,,,PLC
Adams PLC,,,Company Contacts,ZH,,,PLC
"Adams, Benjamin and Hamilton",,,Company,ZH,,,NULL
"Adams, Carson and Hughes",,,Beneficial Owner,ZH,,,NULL
"Adams, Cohen and Ward",,,Beneficial Owner,ZH,,,NULL
"Adams, Edwards and Brown",,,Company,ZH,,,NULL
"Adams, Foster and Weber",,,Company,ZH,,,NULL
"Adams, Gonzales and Munoz",,,Company Contacts,ZH,,,NULL
"Adams, Hall and Johnson",,12596.6728,Company,ZH,,,NULL
"Adams, Hanson and Figueroa",,,Beneficial Owner,ZH,,,NULL
"Adams, Henderson and Schaefer",,,Beneficial Owner,ZH,,,NULL
"Adams, Hicks and Powers",,,Beneficial Owner,ZH,,,NULL
"Adams, Jones and Hughes",,,Beneficial Owner,ZH,,,NULL
"Adams, Mercer and Massey",,32740.6303,Company,ZH,,,NULL
"Adams, Moore and Brown",,,Company Contacts,ZH,,,NULL
"Adams, Morales and Pham",,,Beneficial Owner,ZH,,,NULL
"Adams, Nelson and Aguilar",,,Beneficial Owner,ZH,,,NULL
"Adams, Pham and Hill",,,Beneficial Owner,ZH,,,NULL
"Adams, Porter and White",,,Company Contacts,ZH,,,NULL
"Adams, Riggs and Graham",,,Beneficial Owner,ZH,,,NULL
"Adams, Roach and Hahn",,,Company Contacts,ZH,,,NULL
"Adams, Roach and Lopez",,,Beneficial Owner,ZH,,,NULL
"Adams, Walsh and Bond",,,Beneficial Owner,ZH,,,NULL
"Adams, Weaver and Aguilar",,,Beneficial Owner,ZH,,,NULL
"Adams, Williams and Peterson",,,Company Contacts,ZH,,,NULL
Adams-Brown,,,Beneficial Owner,ZH,,,NULL
Adams-Camacho,,,Company Contacts,ZH,,,NULL
Adams-Deleon,,,Company Contacts,ZH,,,NULL
Adams-Foster,,,Beneficial Owner,ZH,,,NULL
Adams-Fuller,,,Beneficial Owner,ZH,,,NULL
Adams-Gomez,,,Beneficial Owner,ZH,,,NULL
Adams-Griffin,,,Beneficial Owner,ZH,,,NULL
Adams-Henry,,,Company Contacts,ZH,,,NULL
Adams-Hicks,Clothing and footwear,18266.6728,Company,ZH,0,0,NULL
Adams-Jackson,,,Beneficial Owner,ZH,,,NULL
Adams-Lopez,,,Beneficial Owner,ZH,,,NULL
Adams-Mcdonald,,,Company Contacts,ZH,,,NULL
Adams-Navarro,,,Company Contacts,ZH,,,NULL
Adams-Oconnell,,,Company,ZH,,,NULL
Adams-Owen,,,Beneficial Owner,ZH,,,NULL
Adams-Parker,,,Beneficial Owner,ZH,,,NULL
Adams-Patterson,,,Beneficial Owner,ZH,,,NULL
Adams-Richardson,,,Company Contacts,ZH,,,NULL
Adams-Schmitt,,,Company Contacts,ZH,,,NULL
Adams-Vang,,,Beneficial Owner,ZH,,,NULL
Adams-Wilson,,,Beneficial Owner,ZH,,,NULL
Adams-Wright,,,Beneficial Owner,ZH,,,NULL
Adkins Group,,,Beneficial Owner,ZH,,,Group
Adkins Group,,,Beneficial Owner,ZH,,,Group
Adkins Group,,,Company Contacts,ZH,,,Group
Adkins Inc,,,Company,ZH,,,Inc
Adkins LLC,Frozen seafood products,49824.378,Company,ZH,1,1,Limited
Adkins LLC,,,Company,ZH,,,Limited
Adkins LLC,,,Company Contacts,ZH,,,Limited
Adkins PLC,,,Company Contacts,ZH,,,PLC
"Adkins, Barnes and Graham",,,Beneficial Owner,ZH,,,NULL
"Adkins, Garcia and Perkins","Hydraulic and thermal electric power, and distributes electric power to other electric companies through its electronic power lines and frequency transformer stations",8865949.835,Company,ZH,0,0,NULL
"Adkins, Manning and Beard",,,Company,ZH,,,NULL
"Adkins, Williamson and Daniels","Sails; for boats, sailboards or landcraft",286874436.2,Company,ZH,0,0,NULL
Adkins-Glover,,,Beneficial Owner,ZH,,,NULL
Adkins-Hartman,,,Beneficial Owner,ZH,,,NULL
Adkins-Leach,,,Company Contacts,ZH,,,NULL
Adkins-Poole,,,Company Contacts,ZH,,,NULL
Adkins-Villanueva,Wire harnesses,37866.6728,Company,ZH,0,0,NULL
Adriatic  Nautical CJSC Holdings,"Logistics services (first class consigned freight forwarding business act (by Ministry Of Land, Infrastructure, Transport and Tourism); type of facilities for transport: ocean voyage area of the business: general operating; cargo shipment (by sea); land transportation; customs clearing agent; warehousing; and marine / property insurance agent)",14181.4208,Company,Rio Isla,1,1,CJSC
Adriatic  Seabass LC Transportation,"Providing complete custom brokerage, freight forwarding, logistic service and product shipping solution for all over the world",17566.6728,Company,Oceanus,0,0,Limited
Adriatic Catch Ges.m.b.H. Forwading,Food,11277.1793,Company,Alverossia,1,0,Ges.m.b.H
Adriatic Catch Ges.m.b.H. Marine biology,Consumer goods,,Company,Isliandor,0,0,Ges.m.b.H
Adriatic Catch Ltd Transport,,,Company,Marebak,,,Limited
Adriatic Catch Ltd. Liability Co,Machine tools,20066.6728,Company,Oceanus,0,0,Limited
Adriatic Catch S.A. de C.V.,Technical testing and analysis,8869.44,Company,Puerto Sol,0,0,S.A. de C.V.
Adriatic Catch SRL Seal,Plastics engineering unit dedicated to the construction of turn key plants,54603.9287,Company,Puerto Sol,0,0,SRL
Adriatic Mackerel Ges.m.b.H. Family,,,Company,Sol y Oceana,,,Ges.m.b.H
Adriatic Mackerel Ges.m.b.H. Worldwide,Produces models and moulds and operates as a subcontractor of both laminate elements and complete boats,74266.1809,Company,Playa Solis,0,0,Ges.m.b.H
Adriatic Mackerel N.V. Transport,"Fish and seafood products Chilean clams, tunas, cockles, winkles, razors, stuffed squids, octopuses, mackerel filets, prawns, mussels, cods, crabs, caviars, oysters, and cuttlefishes; Spices and sauces spicy spices, non-spicy spices, aromatic herbs, seasonings, and sauce appetizers; Fruits and vegetables packaged asparaguses, sweet maizes, palm hearts, green peppers, truffles, mangoes, papayas, pineapples, and rambutans",113379.1323,Company,Nalakond,1,1,N.V.
Adriatic Mackerel Plc Marine ecology,,6966.6728,Company,Rivenisla,,,PLC
Adriatic Mackerel S.A. de C.V.,,,Company,Playa Solis,,,S.A. de C.V.
Adriatic Squid AS Holdings,Canned seafood products,16451.9034,Company,Nalakond,1,1,A/S
Adriatic Squid Corporation Buoy,,,Company,Oceanus,,,Co
Adriatic Squid Limited Liability Company Freight,"Fresh, cured, or frozen fish and seafoods",24066.6728,Company,Oceanus,1,1,Limited
Adriatic Squid Ltd. Liability Co,Footwear,22980.7769,Company,Marebak,0,0,Limited
Adriatic Squid Ltd. Liability Co,"Seafood products (including finfish, shellfish, and shrimp)",13766.6728,Company,Oceanus,1,1,Limited
Adriatic Squid SE Marine conservation,,,Company,Merigrad,,,SE
Adriatic Tuna GmbH & Co. KG,Integrated freight forwarding and warehouse operation,29366.6728,Company,Oceanus,0,0,Ges.m.b.H
Adriatic Tuna NV Cod,,,Company,Isliandor,,,N.V.
Adriatic Tuna Pic Express,,,Company,Faraluna,,,PLC
Adriatic Tuna Seabass BV Transit,Tuna and tuna petfood,91222.0779,Company,Mawazam,1,0,BV
Adriatic Tuna Shipyard GmbH United,,221337.9812,Company,Thessalandia,,,Ges.m.b.H
Agua Express Marine mist,,14466.6728,Company,Oceanus,,,NULL
Agua Limited Liability Company Services,,10254.1095,Company,Brindisola,,,Limited
Agua Ltd. Corporation Carriers,,7973.9168,Company,Coral Solis,,,Co
Agua Ltd. Liability Co,,8931.7365,Company,Marebak,,,Limited
Agua Ltd. Liability Co,,8201.395,Company,Solovarossa,,,Limited
Agua N.V. Marine life,Large 2 pole turbogenerators,102092.7612,Company,Utoparadia,0,0,N.V.
Aguamarina Beach AB Industrial,"Cheese, olives, olive oil, pasta, pickled products, rice, seafood, soups, spices, tortellini and gnocchi, vinegar, coffee and desserts, as well as artichokes and hearts of palm, beverages, bread crumbs, Mediterranean specialties, and tomatoes",170666.6728,Company,Oceanus,1,1,AB
Aguamarina Jetty GmbH & Co. KG Logistics,,,Company,Vesperanda,,,Ges.m.b.H
Aguamarina Limited Liability Company,Fresh and frozen seafood,55045.4068,Company,Marebak,1,1,Limited
Aguamarina S.A. de C.V.,"Measuring, compounding, extruding, and pelletizing equipment",84857.8698,Company,Marebak,0,0,S.A. de C.V.
Aguilar and Sons,,,Beneficial Owner,ZH,,,Sons
Aguilar Group,,,Beneficial Owner,ZH,,,Group
Aguilar LLC,Motor vehicle parts and other related products,108190.6244,Company,ZH,0,0,Limited
Aguilar LLC,,,Beneficial Owner,ZH,,,Limited
Aguilar Ltd,,,Beneficial Owner,ZH,,,Limited
Aguilar Ltd,,,Beneficial Owner,ZH,,,Limited
"Aguilar, Chavez and Gomez",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Gentry and Rose",,,Company Contacts,ZH,,,NULL
"Aguilar, Grant and Schneider",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Jones and Graham",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Joyce and Jimenez",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Perez and Greene",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Rose and Hamilton",,,Company Contacts,ZH,,,NULL
"Aguilar, Shelton and Jackson",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Smith and Perez","Ice cream and frozen food (such as pastry, vegetables, fruit, fish and seafood, and ready meals)",339035.9385,Company,ZH,1,1,NULL
"Aguilar, Ward and Bishop",,,Beneficial Owner,ZH,,,NULL
"Aguilar, Welch and Carter",,,Company Contacts,ZH,,,NULL
Aguilar-Brewer,,,Company Contacts,ZH,,,NULL
Aguilar-Collins,,,Beneficial Owner,ZH,,,NULL
Aguilar-Cortez,,12786.6728,Company,ZH,,,NULL
Aguilar-Dixon,,,Beneficial Owner,ZH,,,NULL
Aguilar-Foster,,,Beneficial Owner,ZH,,,NULL
Aguilar-Hunter,,,Beneficial Owner,ZH,,,NULL
Aguilar-Wilcox,,,Company Contacts,ZH,,,NULL
Aguirre and Sons,,,Company Contacts,ZH,,,Sons
Aguirre Inc,,,Beneficial Owner,ZH,,,Inc
"Aguirre, Gilbert and Johnson",,,Beneficial Owner,ZH,,,NULL
"Aguirre, Martin and Reyes",,,Company,ZH,,,NULL
"Aguirre, Reed and Dixon",,,Beneficial Owner,ZH,,,NULL
Aguirre-Arnold,,,Company Contacts,ZH,,,NULL
Aguirre-Burns,,,Beneficial Owner,ZH,,,NULL
Aguirre-Garcia,,,Company,ZH,,,NULL
Aguirre-Kane,,,Beneficial Owner,ZH,,,NULL
Aguirre-Maldonado,,,Beneficial Owner,ZH,,,NULL
Aguirre-Morris,,,Beneficial Owner,ZH,,,NULL
Aguirre-Reid,,,Beneficial Owner,ZH,,,NULL
Albertine Rift  Company Enterprises,Footwear and other related products,,Company,Kethanor,0,0,Co
Albertine Rift  GmbH & Co. KG,,,Company,Oceanus,,,Ges.m.b.H
Albertine Rift  LLC Line,,5315.3246,Company,Marebak,,,Limited
Albertine Rift  Ltd. Corporation,,325666.6728,Company,Coralmarica,,,Co
Albertine Rift  NV Family,"Alaska Pollock, PC / AT Cod, Hake, Red fish / POP, Pink / Chum Salmon and Shellfish, and Sea Cucumber",9760.8727,Company,Marebak,1,1,N.V.
Alexander and Sons,,,Beneficial Owner,ZH,,,Sons
Alexander and Sons,,,Beneficial Owner,ZH,,,Sons
Alexander Group,,,Beneficial Owner,ZH,,,Group
Alexander Group,,,Beneficial Owner,ZH,,,Group
Alexander Group,,,Company Contacts,ZH,,,Group
Alexander Inc,,,Beneficial Owner,ZH,,,Inc
Alexander Inc,,,Beneficial Owner,ZH,,,Inc
Alexander Inc,,,Company Contacts,ZH,,,Inc
Alexander LLC,,,Company Contacts,ZH,,,Limited
Alexander Ltd,,8272.0006,Company,ZH,,,Limited
Alexander Ltd,,,Company Contacts,ZH,,,Limited
Alexander PLC,,,Beneficial Owner,ZH,,,PLC
"Alexander, Brewer and Hunter",,,Beneficial Owner,ZH,,,NULL
"Alexander, Cook and Johnson",,,Company Contacts,ZH,,,NULL
"Alexander, Dickerson and Kline",,,Company Contacts,ZH,,,NULL
"Alexander, Freeman and Ross",,,Beneficial Owner,ZH,,,NULL
"Alexander, Harvey and Koch",,,Company Contacts,ZH,,,NULL
"Alexander, Hill and Ruiz",,,Company,ZH,,,NULL
"Alexander, Houston and Allen",,,Company Contacts,ZH,,,NULL
"Alexander, Kelley and Paul",,,Company,ZH,,,NULL
"Alexander, Kemp and Smith",,,Beneficial Owner,ZH,,,NULL
"Alexander, Kennedy and Wood",,,Beneficial Owner,ZH,,,NULL
"Alexander, Martinez and Fisher",,,Beneficial Owner,ZH,,,NULL
"Alexander, Schroeder and Gay",,4746.6728,Company,ZH,,,NULL
"Alexander, Simpson and Murphy",,,Company,ZH,,,NULL
"Alexander, Stone and Lowe",,,Company Contacts,ZH,,,NULL
"Alexander, Sullivan and Grant","Plant, machinery and related parts for the steel and nonferrous industry, as well as the supply of eco-friendly equipment",67459.9279,Company,ZH,0,0,NULL
"Alexander, Turner and Chavez",,,Beneficial Owner,ZH,,,NULL
Alexander-Banks,,,Beneficial Owner,ZH,,,NULL
Alexander-Barnett,,10526.9848,Company,ZH,,,NULL
Alexander-Burns,,,Beneficial Owner,ZH,,,NULL
Alexander-Calhoun,,,Beneficial Owner,ZH,,,NULL
Alexander-Chavez,,,Beneficial Owner,ZH,,,NULL
Alexander-French,,,Company Contacts,ZH,,,NULL
Alexander-Griffin,,,Beneficial Owner,ZH,,,NULL
Alexander-Howell,,,Beneficial Owner,ZH,,,NULL
Alexander-Jackson,,,Company,ZH,,,NULL
Alexander-Lee,,,Company Contacts,ZH,,,NULL
Alexander-Mills,,,Beneficial Owner,ZH,,,NULL
Alexander-Perry,,,Beneficial Owner,ZH,,,NULL
Alexander-Smith,,,Beneficial Owner,ZH,,,NULL
Ali Ltd,,,Company Contacts,ZH,,,Limited
Ali Ltd,,,Company Contacts,ZH,,,Limited
"Ali, Barber and French",Wood decorative materials,15535.1594,Company,ZH,0,0,NULL
"Ali, Castro and Cruz","Of transformers, including distribution, power, furnace, rectifier, traction power, and locomotive transformers to power utilities, steel mills, cement plants, petro chemical complexes, fertilizer plants, and independent power plants; and static energy meters and metering solutions that support communication through various media for use in residential, commercial, industrial, and special purpose applications",35469.216,Company,ZH,0,0,NULL
"Ali, Collins and Cook",,,Beneficial Owner,ZH,,,NULL
"Ali, Cook and Oconnor",,5396.6728,Company,ZH,,,NULL
"Ali, Miller and Francis",,,Beneficial Owner,ZH,,,NULL
"Ali, White and Adkins",,,Beneficial Owner,ZH,,,NULL
Ali-Hernandez,,,Beneficial Owner,ZH,,,NULL
Allen and Sons,,,Company,ZH,,,Sons
Allen and Sons,,,Company,ZH,,,Sons
Allen and Sons,,,Beneficial Owner,ZH,,,Sons
Allen and Sons,,,Beneficial Owner,ZH,,,Sons
Allen and Sons,,,Beneficial Owner,ZH,,,Sons
Allen and Sons,,,Beneficial Owner,ZH,,,Sons
Allen Group,,,Beneficial Owner,ZH,,,Group
Allen Group,,,Beneficial Owner,ZH,,,Group
Allen Group,,,Beneficial Owner,ZH,,,Group
Allen Group,,,Company Contacts,ZH,,,Group
Allen Inc,,11636.8452,Company,ZH,,,Inc
Allen Inc,,,Beneficial Owner,ZH,,,Inc
Allen Inc,,,Beneficial Owner,ZH,,,Inc
Allen Inc,,,Beneficial Owner,ZH,,,Inc
Allen Inc,,,Company Contacts,ZH,,,Inc
Allen Inc,,,Company Contacts,ZH,,,Inc
Allen LLC,,,Beneficial Owner,ZH,,,Limited
Allen LLC,,,Beneficial Owner,ZH,,,Limited
Allen LLC,,,Company Contacts,ZH,,,Limited
Allen LLC,,,Company Contacts,ZH,,,Limited
Allen LLC,,,Company Contacts,ZH,,,Limited
Allen Ltd,Fresh tuna; Sea bass; Yellowfin tuna,242308.1819,Company,ZH,0,0,Limited
Allen Ltd,,,Beneficial Owner,ZH,,,Limited
Allen Ltd,,,Company Contacts,ZH,,,Limited
Allen Ltd,,,Company Contacts,ZH,,,Limited
Allen PLC,Fish and seafood products,61582.3234,Company,ZH,1,1,PLC
Allen PLC,Plastics materials and resins,25866.6728,Company,ZH,0,0,PLC
Allen PLC,,,Beneficial Owner,ZH,,,PLC
Allen PLC,,,Beneficial Owner,ZH,,,PLC
Allen PLC,,,Company Contacts,ZH,,,PLC
Allen PLC,,,Company Contacts,ZH,,,PLC
Allen PLC,,,Company Contacts,ZH,,,PLC
"Allen, Anderson and Huerta",,,Beneficial Owner,ZH,,,NULL
"Allen, Barber and Walters",,,Beneficial Owner,ZH,,,NULL
"Allen, Clark and Rogers",,,Company Contacts,ZH,,,NULL
"Allen, Crawford and Byrd",,,Beneficial Owner,ZH,,,NULL
"Allen, Duarte and Brennan",,,Beneficial Owner,ZH,,,NULL
"Allen, Gilbert and Kelly",,,Beneficial Owner,ZH,,,NULL
"Allen, Green and Andrews",,,Beneficial Owner,ZH,,,NULL
"Allen, Gregory and Walker",,,Company Contacts,ZH,,,NULL
"Allen, Hansen and Smith",,,Company Contacts,ZH,,,NULL
"Allen, Holt and West",,,Beneficial Owner,ZH,,,NULL
"Allen, Keller and Sosa",,,Beneficial Owner,ZH,,,NULL
"Allen, Klein and Brooks",,,Company Contacts,ZH,,,NULL
"Allen, Lang and Richardson",,,Company,ZH,,,NULL
"Allen, Leonard and Anderson",,,Company Contacts,ZH,,,NULL
"Allen, Mays and Collins",,,Beneficial Owner,ZH,,,NULL
"Allen, Miller and Armstrong",,,Beneficial Owner,ZH,,,NULL
"Allen, Miller and Webster",,,Beneficial Owner,ZH,,,NULL
