country,AB,AG,A/S,BV,CJSC,Co,Enterprises,Ges.m.b.H,Group,Inc,Kga,Limited,N.V.,OJSC,Oyj,PLC,S.A. de C.V.,S.p.A.,SE,SRL,Sagl,Sp,Sons,ОАО,Null
Imazam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isla Solmar,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0
Islavaragon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Islavaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isliandor,3,3,11,4,6,25,0,13,0,10,3,37,6,2,3,19,19,3,3,4,6,4,5,4,0
Ivarisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Jiraputra,0,0,0,0,1,1,0,0,0,1,0,2,1,0,2,2,2,0,0,1,0,0,0,0,0
Kethanor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kethilim,1,2,1,1,1,3,0,2,0,1,0,6,0,1,2,2,2,0,0,1,1,0,4,1,0
Khamposa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Khamseena,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kilivaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kondanovia,4,7,4,1,4,9,0,10,0,5,2,21,3,0,2,8,8,1,1,0,4,1,2,1,0
Kondarica,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kondarivakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Korvelonia,1,0,0,1,0,3,0,0,0,1,1,3,2,0,1,1,1,0,1,0,1,0,0,1,0
Kuzalanda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kuzima,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumakari,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumindoria,1,1,1,1,1,2,0,3,0,1,2,6,1,1,0,3,3,0,0,0,0,0,1,2,0
Luminkind,0,1,1,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Mango del Oro,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marebak,14,15,30,13,16,78,0,63,2,29,14,134,31,13,18,54,54,17,11,18,13,13,15,16,0
Marifada,0,0,2,0,0,1,0,3,0,1,1,3,2,0,1,1,1,1,1,1,0,0,0,0,0
Mawalara,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mawandia,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Mawazam,4,1,1,1,0,9,0,3,0,4,7,13,4,3,2,5,5,0,2,1,3,2,1,1,0
Merigrad,1,1,4,1,1,0,0,2,0,1,0,7,1,1,3,1,1,1,2,1,0,2,0,1,0
Morolaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Myriadonia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalakimani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalakond,5,5,15,3,2,21,0,17,0,5,5,31,9,4,4,6,6,4,5,3,4,4,3,3,0
Nalaloria,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,1,1,0,2,0,0,0,0
Naraliket,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novarcticaa,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nyxonix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanterra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanus,37,41,77,48,37,236,2,184,2,107,54,395,81,40,43,141,141,42,46,42,47,38,41,50,0
Orvietola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Osterivaria,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0
Osterivaro,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Playa Solis,0,0,0,0,0,3,0,2,0,0,0,2,0,1,0,2,2,0,0,1,2,1,0,0,0
Polarinda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Polarisdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Portovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Sol,2,5,8,1,6,16,0,16,1,14,5,28,6,3,0,10,10,0,5,5,2,5,5,2,0
Puerto del Mar,2,2,0,2,0,8,0,4,0,4,1,15,5,1,1,6,6,1,0,3,3,1,0,2,0
Quirinelle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Quornova,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rio Isla,2,2,4,1,2,11,0,9,0,7,5,21,7,2,5,3,3,3,5,2,4,1,0,1,0
Rio Solovia,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riodelsol,0,2,1,3,1,5,0,4,0,2,2,9,5,5,1,1,1,0,2,0,2,1,0,1,0
Rivenisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosvandor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sirenareef,0,1,0,0,0,3,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Sol y Oceana,3,0,6,4,1,8,0,6,0,8,2,14,6,4,2,2,2,1,2,0,2,2,5,3,0
Solovarossa,1,0,0,1,1,6,0,2,0,2,2,6,0,0,0,0,0,0,0,1,2,2,1,2,0
Solterrix,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrithania,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talandria,2,3,1,0,0,4,0,1,0,1,1,5,1,0,0,3,3,0,1,0,1,0,0,0,0
Thessalandia,0,0,3,2,1,5,0,3,0,3,0,11,1,0,0,2,2,2,0,0,0,0,2,4,0
Utoparadia,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0
Utoporiana,2,3,6,1,1,17,0,9,0,5,5,17,8,3,3,10,10,2,5,6,0,5,5,1,0
Uzifrica,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Uziland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Valtalmo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vesperanda,0,0,2,0,2,4,0,3,0,1,2,6,0,1,1,1,1,5,2,0,0,0,0,1,0
Vesperlandia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vientoro,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wysterion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yggdrasonia,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
ZH,0,0,0,0,0,0,0,0,1225,1261,0,2532,0,0,0,0,0,0,0,0,0,0,1202,0,0
Zambarka,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zawalinda,4,2,3,5,0,4,0,6,0,3,2,8,4,3,0,2,2,5,2,1,1,3,0,1,0
