type,country,id
location,Unknown,e1d7b4ac-ed31-42a4-9375-4afb0f78f276
person,Country_271835,Mary Horton
vessel,Unknown,cutter James
location,Unknown,1da2bc5a-e590-41c9-9982-2ade48dfc426
organization,Unknown,842229565
person,Country_271835,Dylan Roberts
vessel,Unknown,Hang
organization,Unknown,41695239
organization,Unknown,489
location,Unknown,7c54563c-577c-462f-8e30-389b510c776a
event,Unknown,Morning
person,Country_271835,Jennifer Simmons
organization,Unknown,833355
organization,Unknown,613281364
organization,Unknown,801809
person,Country_271835,Angela Spencer
organization,Unknown,65
organization,Unknown,58745
organization,Unknown,678
organization,Unknown,6393
location,Unknown,34f0cbbf-83c3-4e09-ad7a-b94a778f7c12
person,Country_271835,Madison Edwards
person,Marebak,Calvin Salas
organization,Unknown,685607
person,Wysterion,Tristan Johnson
person,Country_271835,Andrew Gamble
organization,Unknown,492238508
person,Country_709784,Anita Tate
organization,Unknown,4447143
location,Unknown,36b70b18-465a-442f-bfbe-cedb85d48acc
organization,Unknown,13
vessel,Unknown,reefers
person,Country_271835,Kimberly Lara
person,Country_271835,Danielle Camacho
person,Country_271835,Mr. Justin Bailey MD
person,Country_271835,Jennifer Brown
person,Country_271835,John Barnes DDS
organization,Unknown,9590898
person,Arreciviento,Joshua Garrett
organization,Unknown,95230042
organization,Unknown,21240092
organization,Unknown,7234
person,Country_271835,Mary Jenkins
political_organization,Unknown,75835980
organization,Unknown,23774
person,Luminsia,Nicole Smith
organization,Unknown,9992346
organization,Unknown,227
person,Country_271835,Jennifer Reilly
person,Country_271835,Christopher Hernandez
organization,Unknown,116070050
location,Unknown,b47086b0-e225-436a-83b1-2cf5cda4dbd5
organization,Unknown,613465161
location,Unknown,88a1fe65-33d9-487a-a3ac-d4208f41b754
person,Country_271835,Jenna Barton
person,Country_271835,Jessica Owens
location,Unknown,88e9e7e8-3edf-4fd4-959d-8ec4f53e59d6
organization,Unknown,67909
location,Unknown,e09b64a2-397a-4bec-96a1-7d61479fe37a
organization,Unknown,1012
person,Country_271835,Kayla Reynolds
organization,Unknown,724
person,Country_271835,Alyssa Mccoy
person,Country_271835,James Hernandez
location,Unknown,1f899410-3447-48e7-bcb3-cbff10619e86
person,Country_271835,Christopher Simon
person,Country_271835,Lauren Jackson DDS
event,Unknown,ï¬shes
event,Unknown,ï¬sh
person,Country_990614,Darren Wilson
person,Country_271835,Andrew Miller
person,Country_271835,Krystal Lee
organization,Unknown,506986590
organization,Unknown,7321
organization,Unknown,647724
organization,Unknown,1214936
person,Country_271835,Laurie Clark
organization,Unknown,7548555
vessel,Unknown,ARA Contraalmirante Cordero
organization,Unknown,461553
person,Oceanus,Rebecca Fox
person,Country_271835,Brandy Williams
location,Unknown,d6968538-6f18-4a1c-a4e2-59de3c0e25c2
person,Country_271835,Robert Vega
person,Oceanus,Frederick Hunter
location,Unknown,06c161ac-e601-493f-b8df-839382e16a74
vessel,Unknown,USS Hurricane
vessel,Unknown,PC
person,Country_271835,Tara Hanson
person,Country_271835,Wesley Vasquez
person,Marebak,Anthony Le
person,Country_271835,Jo Francis
person,Country_271835,Stephanie Thompson
person,Country_271835,Michael Baker
person,Country_271835,Sabrina Zamora
person,Country_271835,Hannah Chandler
political_organization,Unknown,91
organization,Unknown,72875
person,Country_443882,Heidi Kline
organization,Unknown,863749817
organization,Unknown,475
organization,Unknown,567217
vessel,Unknown,Oliver
person,Country_271835,Amanda Becker
person,Country_271835,Jonathan Spence
person,Country_271835,Ann Flowers
organization,Unknown,60774
person,Marebak,Anna Smith
organization,Unknown,760219951
political_organization,Unknown,36744944
location,Unknown,6b58646e-1d3a-4b72-b8a0-9f57c296d73d
location,Unknown,b636c0f8-2ddf-42ad-9f9c-73bd48682561
person,Country_271835,Samuel Stokes
person,Oceanus,Marcus English
event,Unknown,yearsâthat
political_organization,Unknown,950574
Uncategorized,Unknown,Pacific Island States United Statesâ
Uncategorized,Unknown,territory American Samoa
organization,Unknown,7892
organization,Unknown,1415
organization,Unknown,3433
person,Country_271835,Kara Sullivan
person,Country_271835,Shawna Welch
organization,Unknown,89526932
location,Unknown,c66f5cd5-3891-43ce-a3f8-0147b3d643b1
location,Unknown,032522db-8105-4c26-8142-ae9d5806f7c5
person,Country_271835,Robin Fernandez
person,Country_271835,Diana Kelley
person,Country_271835,Miranda Small
person,Country_271835,Stacey Ortega
location,Unknown,da7677f8-d1f0-4e35-afe9-4240613e866b
organization,Unknown,48115
person,Mawazam,Rhonda Sullivan
organization,Unknown,903311212
location,Unknown,1710a32e-7a58-4d7f-9c5e-bf897b7419a3
person,Country_271835,Daniel Shaffer
person,Country_271835,Joshua Hammond
person,Country_230197,Samuel Cross
Uncategorized,Unknown,DECEUNINCK
person,Oceanus,Rhonda Price
location,Unknown,e0cdfc51-7473-481d-8900-03f66d6e359e
person,Country_271835,Ricardo Gomez
organization,Unknown,75471
movement,Unknown,14 months
event,Unknown,âcatch
event,Unknown,âtotal
Uncategorized,Unknown,âMoby-Dickâ
location,Unknown,04eab3c4-ed99-467b-8844-b5279a6b955e
person,Country_271835,Amanda Santana
person,Country_271835,Dana Macias
organization,Unknown,34153143
Uncategorized,Unknown,âTheoretically
person,Uzilandor,Jonathan Torres
person,Country_271835,Gary Dunn
organization,Unknown,721436
person,Country_271835,Linda Holden
person,Country_271835,Donna Romero
person,Country_271835,Amanda Garcia
vessel,Unknown,bottom otter trawler
organization,Unknown,1559
location,Unknown,da91eeb8-11f7-4634-95e7-f9413e9957aa
organization,Unknown,779
organization,Unknown,428
Uncategorized,Unknown,FlodstrÃ
person,Country_271835,Madeline Collins
person,Country_271835,Brittany Brewer
Uncategorized,Unknown,allAfrica
organization,Unknown,900338
organization,Unknown,665912557
person,Country_271835,Danielle Perry
person,Country_271835,Laurie Mclaughlin
event,Unknown,morningâs
person,Country_271835,Anna Thomas MD
person,Oceanus,Michele Black
Uncategorized,Unknown,Â£800
person,Country_699698,Tonya Key
location,Unknown,813be272-d3de-43c9-90be-ab14231fcf17
event,Unknown,âSay
person,Country_271835,Stacey Ortiz
person,Oceanus,Scott Simpson
person,Country_271835,Loretta Harrington
organization,Unknown,203
organization,Unknown,99661834
location,Unknown,950ce1a6-a178-4e3e-9316-91ab7ca88664
political_organization,Unknown,221942
location,Unknown,0d1c7ce3-7243-47c0-9280-a3262b52dc0f
organization,Unknown,327277616
organization,Unknown,637608
person,Country_271835,Benjamin Barton
organization,Unknown,5337
vessel,Unknown,underwater
Uncategorized,Unknown,waterâ
person,Country_271835,Mrs. Katrina Williams
organization,Unknown,13249468
vessel,Unknown,Aine
Uncategorized,Unknown,intrafish
person,Country_271835,Blake Smith
organization,Unknown,42990314
Uncategorized,Unknown,âpoachedâ
Uncategorized,Unknown,krxd
vessel,Unknown,operated vehicle
vessel,Unknown,Snow Crab
person,Country_271835,Carol Wade
person,Islavaria,Dana Knapp
company,Country_322527,Diao yu bi sai Tidal BV Export
person,Oceanus,Patricia Flores
organization,Unknown,4657860
person,Country_271835,Lauren Garner
organization,Unknown,806
company,Country_271835,Madhya Pradesh Market Pic Transportation
organization,Unknown,3308429
person,Country_712875,Wendy Miller
political_organization,Unknown,838200939
person,Country_271835,Jennifer Washington
person,Country_271835,Peter Bush
person,Country_57382,Justin Fowler
organization,Unknown,120
organization,Unknown,2422788
Uncategorized,Unknown,MCDP
location,Unknown,c97073d1-61a4-4a06-a189-8b4642a699e1
political_organization,Unknown,66
organization,Unknown,6204
location,Unknown,96c31987-d50d-4680-9397-2a9d0e3946e1
vessel,Unknown,sailboat Freeport
vessel,Unknown,Perch
person,Country_271835,George Vance
vessel,Unknown,CraftâLaw
vessel,Unknown,Ocean Patrol
vessel,Unknown,ARA Bouchard
person,Country_271835,Kristin Dawson
person,Country_271835,Lindsey Conway
person,Country_271835,Ryan Perez
location,Unknown,dd3f2822-2964-4d18-92c2-7a6db4b4a9e5
organization,Unknown,6567453
organization,Unknown,4086
location,Unknown,a0ea93dc-6767-4682-b424-21b5a24ea24b
person,Country_271835,Darin Torres
person,Country_271835,Kevin Morris
location,Unknown,5025f249-0b3c-4741-a7aa-090d93395acf
location,Unknown,111274e2-c155-4640-9a8e-f506f3fbca06
location,Unknown,aac2c35c-d06d-45df-a1f8-a0c4001f3897
person,Country_271835,James Horton
person,Country_271835,Brian Hansen
person,Country_271835,Michelle Jackson
political_organization,Unknown,17592
location,Unknown,5d1f2e9c-f74a-41e9-974f-9b4e57edc9d7
person,Country_271835,Katherine Chavez
person,Country_271835,Stephen Marks
person,Country_271835,Michelle Long
Uncategorized,Unknown,âlaughableâ
organization,Unknown,299
person,Country_271835,Jennifer Barber
person,Country_271835,Ryan Hudson
person,Country_271835,John Avila
organization,Unknown,2362
organization,Unknown,519852438
Uncategorized,Unknown,âlegitimateâ
person,Country_271835,William Kim
person,Country_271835,Jeffrey Strong
person,Country_271835,Susan Williams
location,Unknown,8851578d-3dd7-4430-8f73-b95305eb1f03
political_organization,Unknown,8634589
organization,Unknown,7260903
company,Country_271835,su y CJSC Canal
location,Unknown,cc3c9a3e-9226-43e0-9c2e-2cabec77b0fc
political_organization,Unknown,9345
person,Polarisdom,Jon White
person,Country_614826,Emily Kennedy
person,Country_271835,Kevin Burnett
organization,Unknown,218148
person,Country_271835,Rebecca Walker
location,Unknown,decfc924-5bdc-4fba-8bbd-bb57d8d478d9
person,Polarisdom,Amanda Scott
Uncategorized,Unknown,22 Raptor
company,Polarisdom,Estrella del Mar Inc Merchants
person,Country_271835,Gerald Washington
person,Country_271835,Jessica Kelly
organization,Unknown,60017
person,Country_271835,Scott Johnson
person,Country_271835,Melissa Bates
person,Country_271835,Sylvia Johnson
person,Country_271835,Seth Kelley
person,Country_271835,Wanda Collins
organization,Unknown,5362
person,Country_271835,Dr. Christina Jensen DDS
person,Country_271835,Lindsey Barr
Uncategorized,Unknown,Filkinsâ
person,Country_271835,Amanda Rogers
organization,Unknown,4852
vessel,Unknown,electric cars
location,Unknown,b8649055-5b40-43e1-ba33-93182cf978d4
location,Unknown,1bf22b98-519c-4131-8bb4-53ecdd193100
organization,Unknown,8503254
person,Country_271835,Randall Newman
person,Country_271835,Austin Simpson
location,Unknown,b1d6e468-f3c5-45f3-90a2-e76b2f329b2d
person,Country_271835,Grace Perez
person,Country_271835,Travis Rivera
person,Country_271835,Larry Morrow
person,Country_271835,Tammy Martin
political_organization,Unknown,436460757
Uncategorized,Unknown,brianbushard
Uncategorized,Unknown,siladityaray
person,Country_271835,Jeremy Woodard
organization,Unknown,8302
political_organization,Unknown,6352
person,Country_271835,Paul Wiley
person,Country_271835,Miranda Long
person,Country_271835,Michelle Kelley
person,Country_271835,Marvin Everett
person,Country_271835,Joseph Williams
political_organization,Unknown,176
person,Country_271835,Scott Anderson
Uncategorized,Unknown,âenticedâ
Uncategorized,Unknown,âPartnersâ
organization,Unknown,3657479
Uncategorized,Unknown,The Defendantsâ
location,Unknown,86ac9e66-f9e8-4f2b-ad17-39a52c23288c
location,Unknown,6ffd3349-37f4-48c5-bc9a-1b80e722e939
company,Country_271835,Danish Lobster Limited Liability Company Brothers
organization,Unknown,352
movement,Unknown,In month
person,Country_271835,Candice Brown
person,Country_271835,Vincent Cummings
Uncategorized,Unknown,Hardwoodsâ
location,Unknown,f64e747e-13de-4628-b939-92a8ff4eb03f
person,Country_244549,Julie Callahan
location,Unknown,68ac10aa-80a3-4b3c-99e5-f5708715ab2c
Uncategorized,Unknown,Pitâ
person,Country_271835,David Romero
person,Country_271835,Elizabeth Armstrong
person,Country_271835,Melissa Brock
organization,Unknown,39033859
organization,Unknown,62532
organization,Unknown,649009867
person,Country_271835,Robert Rodriguez
location,Unknown,cd7cb49f-0021-4fe9-a3a9-cc8b3fce0c57
person,Country_271835,Andrew Harrison
person,Country_271835,Bryan King
person,Country_271835,Manuel Hess
vessel,Unknown,Motor Vessel
organization,Unknown,24996
organization,Unknown,90411963
location,Unknown,114d2882-b620-4098-bb56-d865bbb85339
person,Country_271835,Christopher Moore
organization,Unknown,28890617
organization,Unknown,14636
event,Unknown,Storm
person,Country_271835,Diane Forbes
person,Country_271835,Dawn Robinson
person,Country_271835,Nathaniel Shah
person,Country_271835,Stephen Peterson
company,Oceanus,hi xng BV Carriers
person,Country_271835,Martin Jones
person,Country_271835,Chad Ruiz
organization,Unknown,687878
organization,Unknown,368951
location,Unknown,c0ce6d15-622b-42a3-b892-f5efe5b4d00c
location,Unknown,a086a63d-19c7-4241-845a-f82c628d09a2
person,Country_271835,Brett Lee
person,Country_271835,Noah Mitchell
location,Unknown,037acfda-0d33-4ce8-8907-fe7da3e27dff
Uncategorized,Unknown,âexemplaryâ
location,Unknown,332bb88e-0a63-41e3-8a27-87795fd552e9
event,Unknown,course years
organization,Unknown,440
location,Unknown,4294544a-9643-4cfd-97a0-ac656cb17e60
person,Country_271835,Hannah Ray
person,Country_271835,Nicholas King
organization,Unknown,214883455
location,Unknown,e69d4cb2-8bec-4496-8518-7426c6b9da65
company,Country_271835,Kagera River  GmbH & Co. KG Delivery
organization,Unknown,715490
person,Country_271835,Terri Rodriguez
person,Country_271835,Margaret Hodges
organization,Unknown,613556
organization,Unknown,979294
organization,Unknown,5246016
organization,Unknown,64667049
person,Country_271835,Travis Sparks
person,Country_271835,Deborah Porter DDS
Uncategorized,Unknown,âshark finâ
location,Unknown,bc507d7c-29c9-4b0d-909e-52dd450a25d3
person,Country_271835,Cody Lewis
Uncategorized,Unknown,13d79d632036
person,Country_271835,Laura Smith
Uncategorized,Unknown,2038650116
Uncategorized,Unknown,sectors sectors 2033
person,Country_271835,Kelly Mccarthy
location,Unknown,3eed159b-e98e-4f8a-98c2-c34341435411
person,Country_271835,Curtis Grant
person,Country_271835,Lindsay Bennett
location,Unknown,f514483d-fb5f-4cb2-bb8d-b616b10336d8
location,Unknown,165e0fe7-6725-4f4c-abc1-3ef485a939b0
organization,Unknown,FishEye International
Uncategorized,Unknown,Ancla Azul Company Solutions
Uncategorized,Unknown,Guessl
Uncategorized,Unknown,Federated
Uncategorized,Unknown,l y S.A. de C.V. International
Uncategorized,Unknown,SeaSpray Wave SRL Solutions
Uncategorized,Unknown,Ocean Fisheries Llc
Uncategorized,Unknown,Fisherman'sFriend Charter Boat S.A. de C.V. Freight 
Uncategorized,Unknown,Faurtil FÃ¡brica Urnas TietÃª
Uncategorized,Unknown,Fish Sea
Uncategorized,Unknown,Sea Products
Uncategorized,Unknown,Ex-Lax
Uncategorized,Unknown,Fishisland
Uncategorized,Unknown,âGenev
Uncategorized,Unknown,Oceanfront Oasis Inc Carriers
Uncategorized,Unknown,Qingdao Kaiyuan Seafoods
Uncategorized,Unknown,Mar de la Vida OJSC
Uncategorized,Unknown,West Bengal S.A. de C.V.
Uncategorized,Unknown,Fisheries Inc
Uncategorized,Unknown,Getis-Ord
Uncategorized,Unknown,Bergmanâs
Uncategorized,Unknown,Conduct Joint
Uncategorized,Unknown,âTrials
Uncategorized,Unknown,BPâs
Uncategorized,Unknown,Shellfish Chile SA
Uncategorized,Unknown,Mar de Cristalino Co
Uncategorized,Unknown,SaltwaterSavor Shipyard LC Merchants
Uncategorized,Unknown,Petroleum Vapor Intrusion
Uncategorized,Unknown,The Salty Dog Tidepool Kga Transport
Uncategorized,Unknown,Stock SA
Uncategorized,Unknown,Aqua Ambassadors Limited Liability Company
Uncategorized,Unknown,Sea Luxe Oceanography Kga Transportation
Uncategorized,Unknown,Blue Water Ventures Kga
Uncategorized,Unknown,Bloomberg Law
Uncategorized,Unknown,âCinder
Uncategorized,Unknown,Kariba Dam  N.V. Brothers
Uncategorized,Unknown,Tuna Vietnam
Uncategorized,Unknown,Marine Foods
Uncategorized,Unknown,3 Ltd. Liability Co
Uncategorized,Unknown,Hudsons Bay
Uncategorized,Unknown,STL
Uncategorized,Unknown,Jharkhand s GmbH & Co. KG
Uncategorized,Unknown,Phillips
Uncategorized,Unknown,Rose
Uncategorized,Unknown,Savaneta Corporation Marine life
Uncategorized,Unknown,Michael Limited Liability Company
Uncategorized,Unknown,âUS
Uncategorized,Unknown,One Hongn
Uncategorized,Unknown,Kores De Venezuela C A
Uncategorized,Unknown,Faroe Islands Plc Investment
Uncategorized,Unknown,Logistics
Uncategorized,Unknown,Dispenseroo
Uncategorized,Unknown,80 Percent Arms
Uncategorized,Unknown,CM Nationali
Uncategorized,Unknown,MV
Uncategorized,Unknown,Ronald
Uncategorized,Unknown,C Express
Uncategorized,Unknown,IndÃºstria Madeireira Uliana
