source,BOCnt,CCCnt
"Archer, Barnett and Jackson",1,0
"Archer, Brown and Hunt",1,0
"Archer, Jordan and Andrews",1,0
"Arellano, Lane and Mcdonald",1,0
Arellano-Morales,1,0
Arena Azul Company International,2,1
Arena Azul LC Cargo,3,1
Arena Azul S.A. de C.V.,2,1
Arena Azul Shark LLC Marine life,3,1
Arena de Coral NV,2,1
Arena de Coral Solutions,1,1
Arena del Sol CJSC,1,0
Arena del Sol Delivery,3,1
Arena del Sol Ges.m.b.H.,6,0
Arena del Sol Ltd United,3,1
Arena del Sol N.V.,2,1
Arena del Sol Oyj,1,1
Arena del Sol S.A. de C.V.,4,1
Arena del Sol S.p.A.,1,1
Arena del Sol SE,3,1
Arena del Sol SRL,2,1
Arena del Sol Sagl,8,2
Arena del Sol Sp Solutions,2,1
Arias Group,1,0
Arias LLC,2,0
Arias-Carey,1,0
Arias-Evans,1,0
Arias-Saunders,1,0
Arias-Williams,1,0
Armstrong Inc,1,0
"Armstrong, Nichols and Williams",1,0
"Armstrong, Perez and Anderson",1,0
Armstrong-Mitchell,1,0
Armstrong-Perez,1,0
Armstrong-Thomas,1,0
Arnold LLC,1,0
Arnold Ltd,1,1
"Arnold, Bolton and Stein",1,0
"Arnold, Scott and Solis",1,0
"Arnold, Wise and Fuentes",1,0
Arnold-Nash,1,0
Arnold-Rodriguez,1,0
Arnold-Ware,1,0
Arnold-Wheeler,1,0
Arroyo and Sons,1,1
"Arroyo, Fernandez and Smith",1,0
"Arroyo, Powell and Hoffman",1,0
"Arroyo, Scott and Shah",1,0
Arroyo-Diaz,1,0
Arroyo-Parker,1,0
Arroyo-Sexton,1,0
Arroyo-Vaughn,1,0
Arunachal Pradesh s &,4,1
Arunachal Pradesh s AB,22,1
Arunachal Pradesh s AS Eel,2,1
Arunachal Pradesh s Co,2,1
Arunachal Pradesh s Hijiki,2,1
Arunachal Pradesh s Kga Seabreeze,5,1
Arunachal Pradesh s N.V.,2,1
Arunachal Pradesh s NV,19,1
Arunachal Pradesh s Oyj,22,2
Arunachal Pradesh s Plc,3,3
Arunachal Pradesh s S.p.A. Services,11,1
Arunachal Pradesh s Sagl Transport,1,1
Arunachal Pradesh s ОАО,1,1
"Ashley, Christensen and Bender",1,0
Asiotr Green  SE Marine sanctuary,3,1
Asiotr S.A. de C.V. Chart,1,1
Assam   Limited Liability Company,6,2
Assam   Ltd. Corporation Delivery,1,1
Assam   Ltd. Liability Co,2,1
Assam   S.A. de C.V.,1,0
Assam  Market CJSC Tuna,4,1
Assam  Market Corp Solutions,3,1
Assam  Market Incorporated Tanker,8,1
Assam  Market Kga Brothers,5,1
Assam  Market Kga Marine ecology,5,1
Assam  Market Limited Liability Company,3,1
Asveja S.A. de C.V. International,2,1
"Atkins, Anderson and Owen",1,0
"Atkins, Walker and Baldwin",1,0
"Atkinson, Davis and Roberson",1,0
"Atkinson, Wagner and Evans",1,0
Atlantic Ocean Coast  NV,6,1
Atlantic Ocean Coast  Sp Marine,1,1
Atlantic Ocean Coast  ОАО Investment,11,1
AtlanticAppetite S.A. de C.V.,1,1
Atlas Mountains  Corp Dredge,2,1
Atlas Mountains  Green  Sagl Consultants,2,1
Atlas Mountains  LC Marine,3,1
Atlas Mountains  LC and Son's,3,1
Atlas Mountains  Ltd. Liability Co,2,1
Atlas Mountains  Sp Charter Boat,34,1
Atlántico Sur AG Transport,1,1
Atlántico Sur Limited Liability Company,2,1
Atlántico Sur Pic Holdings,9,1
Atlántico Sur Sea spray Pic Cargo,4,1
Austin Group,1,0
Austin Inc,2,0
Austin LLC,1,0
Austin PLC,2,0
"Austin, Brown and Sutton",1,0
"Austin, Lara and Sanders",1,0
"Austin, Roach and Baker",1,0
Austin-Adams,1,0
Avery Group,1,0
Avery-Davis,1,0
Avila Inc,1,0
Avila LLC,1,0
Avila Ltd,1,0
Ayala Ltd,2,0
"Ayala, Allen and Austin",1,0
Ayala-Haynes,1,0
Ayala-Rodriguez,1,0
Ayala-Weiss,1,0
Bahía Azul AB Export,1,1
Bahía Azul Kga Marine biology,5,1
Bahía Azul Ltd Holdings,2,1
Bahía Azul NV Shipping,34,1
Bahía Dorada Company Freight,11,1
Bahía Dorada LLC Delivery,1,1
Bahía Dorada NV Cargo,15,1
Bahía Dorada Tidal flat,1,1
Bahía de Coral Company Shoal,4,1
Bahía de Coral Kga,2,1
Bahía de Coral S.p.A. Consultants,5,1
Bahía de Plata AS,11,1
Bahía de Plata LC Marine ecology,6,1
Bahía de Plata Ltd,1,1
Bahía de Plata Marine sanctuary,1,1
Bahía de Plata Plc,4,1
Bahía de Plata Salt spray Oyj Worldwide,2,1
Bahía de Plata Submarine,48,1
Bahía del Este Company,3,1
Bahía del Este Ges.m.b.H.,2,1
Bahía del Este GmbH Forwading,1,1
Bahía del Este S.p.A.,12,1
Bahía del Este Sagl,11,1
Bahía del Sol A/S Export,3,1
Bahía del Sol AS,1,1
Bahía del Sol Company Transportation,9,1
Bahía del Sol Corporation,12,3
Bahía del Sol Incorporated Fish,1,1
Bahía del Sol Kga Consulting,4,1
Bahía del Sol LLC Pelican,6,1
Bahía del Sol Merchants Catchers,2,1
Bailey LLC,2,1
Bailey Ltd,2,0
Bailey PLC,2,1
"Bailey, Cruz and Ross",1,0
"Bailey, Hawkins and Holmes",1,0
"Bailey, Montgomery and Jordan",1,0
"Bailey, Perez and Manning",1,0
"Bailey, Rangel and Flowers",1,0
"Bailey, Ross and Warner",1,0
"Bailey, Thomas and Rogers",1,0
Bailey-Crane,1,0
Bailey-Gallegos,1,0
Bailey-Lewis,3,0
Baird PLC,1,0
Baker Group,7,1
Baker LLC,4,0
Baker and Sons,3,0
"Baker, Brown and Palmer",1,0
"Baker, Garcia and Acevedo",1,0
"Baker, Griffin and Farley",1,0
"Baker, Ingram and Henry",1,0
"Baker, Mitchell and Bailey",1,0
"Baker, Page and Petty",1,0
"Baker, Rodriguez and Hancock",1,0
"Baker, Shelton and Perez",1,0
"Baker, Turner and Gregory",1,0
Baker-Bell,1,0
Baker-Bennett,1,0
Baker-Burton,1,0
Baker-Davis,1,0
Baker-Garza,1,0
Baker-Huynh,1,0
Baker-Palmer,1,0
Baker-Parker,1,0
Baker-Shaffer,1,0
Baker-Snyder,1,0
Baker-Washington,1,0
Baker-Watts,1,0
Baker-West,1,0
Baker-Williams,1,0
Baldwin LLC,1,0
"Baldwin, Castillo and Lane",1,0
"Baldwin, Martin and Yang",1,0
"Baldwin, Stevenson and Brooks",1,0
Baldwin-Evans,1,0
Baldwin-Washington,1,0
Balkan  GmbH & Co. KG Cargo,1,1
Balkan Anchovy Kga Industrial,1,1
Balkan Anchovy LC Holdings,3,1
Balkan Anchovy N.V. Transit,1,1
Balkan Anchovy S.A. de C.V. Delivery,2,1
Balkan Cat Beachcomber CJSC Cargo,3,1
Balkan Cat Corporation Brothers,1,1
Balkan Cat GmbH & Co. KG Overseas,2,1
Balkan Cat Ltd. Corporation Jetsam,1,1
Balkan Pike GmbH & Co. KG Krill,2,1
Balkan Pike GmbH Transit,6,1
Balkan Pike LC Line,3,1
Balkan Pike Ltd. Corporation,2,1
Balkan Trout A/S Marine,2,1
Balkan Trout GmbH & Co. KG Holdings,1,1
Balkan Trout Incorporated Marine ecology,3,1
Balkan Trout Ltd. Corporation Transit,3,1
Balkan Trout S.A. de C.V.,1,1
Balkan Trout SE Holdings,1,0
Ball and Sons,2,1
"Ball, Anthony and Martin",1,0
"Ball, Brown and Velez",1,0
"Ballard, Crane and Swanson",1,0
"Ballard, Freeman and Hoffman",1,0
"Ballard, James and Conner",1,0
"Ballard, Shaffer and Finley",1,0
Baltic Catch A/S Marine life,1,1
Baltic Catch Ltd Line,2,1
Baltic Catch Shipyard Inc Distribution,1,1
Baltic Catch Sp Sea,1,1
Baltic Flounder Corp Logistics,3,1
Baltic Flounder Seabreeze Ges.m.b.H. Distribution,3,1
Baltic Herring AB United,6,1
Baltic Herring CJSC Navigation,1,1
Baltic Salmon Corp Marine life,3,1
Baltic Salmon Limited Liability Company,12,1
Baltic Salmon Salt spray,2,1
Baltic Sprat AG Freight,1,1
Baltic Sprat Ges.m.b.H. Enterprises,1,1
Baltic Sprat GmbH & Co. KG Enterprises,2,1
Baltic Sprat Kelp GmbH Forwading,5,1
Baltic Sprat ОАО Marine,1,1
Banded tilapia Corporation Holdings,5,1
Banded tilapia Limited Liability Company Consulting,3,1
Banks LLC,1,0
Banks Ltd,1,1
Banks-Davidson,1,0
Banks-Murphy,1,0
Banks-Rodriguez,1,0
Barajas-Miller,1,0
Barber PLC,1,0
"Barber, Armstrong and Lopez",1,0
"Barber, Olson and Brown",1,0
Barber-Jones,1,0
Barco de Plata AB,1,1
Barco de Plata CJSC,5,1
Barco de Plata Corp,1,1
Barco de Plata GmbH & Co. KG,1,1
Barco de Plata Inc,3,1
Barco de Plata Incorporated,4,1
Barco de Plata Logistics,6,1
Barco de Plata Marine,1,0
Barco de Plata NV,3,1
Barco de Plata NV Transit,2,1
Barco de Plata SE Carriers,11,1
Barents Sea  Corporation Worldwide,10,0
Barents Sea  GmbH & Co. KG Flounder,6,1
Barents Sea  GmbH Cargo,2,1
Barents Sea  GmbH Line,1,1
Barents Sea  Ltd Marine,2,1
Barents Sea  NV Logistics,2,1
Barents Sea Cod Catfish S.A. de C.V. Express,1,1
Barents Sea Cod Coral Reef AS Consulting,5,1
Barents Sea Cod Incorporated & Son's,10,1
Barents Sea Cod Incorporated Holdings,1,1
Barents Sea Cod Limited Liability Company,1,1
Barents Sea Shrimp Dashi,1,0
Barents Sea Shrimp LC Marine,1,1
Barents Sea Shrimp OJSC _,2,1
Barents Sea Shrimp Pic Line,4,1
Barker Group,2,0
Barker and Sons,1,0
"Barker, Garrison and Robinson",1,0
"Barker, Haas and Taylor",1,0
"Barker, Santos and Gill",1,0
Barker-Grimes,1,0
Barker-Moore,1,0
Barker-Smith,1,0
Barnes Group,2,0
Barnes Inc,1,0
Barnes Ltd,1,0
Barnes PLC,1,0
"Barnes, Blair and Brown",1,0
Barnes-Garcia,1,0
Barnes-Gill,1,0
Barnes-Guzman,1,0
Barnes-Larson,1,0
Barnes-Manning,1,0
Barnes-Orr,1,0
Barnes-Pearson,1,0
Barnett Inc,1,0
Barnett and Sons,1,0
"Barnett, Johnson and Taylor",1,0
"Barnett, Johnson and Wright",1,0
Barnett-Eaton,1,0
Barnett-Perez,1,0
Barnett-Waters,1,0
Barr Inc,1,0
"Barr, Sanchez and Reed",1,0
Barr-Fitzgerald,1,0
Barr-Meyer,1,0
"Barrera, Stevens and Nelson",1,0
Barrera-Galloway,1,0
Barrett Inc,1,0
Barrett LLC,1,0
Barrett PLC,1,0
"Barrett, Hall and Riley",1,0
"Barrett, Velazquez and Glover",1,0
Barrett-Bowen,1,0
Barrett-Harrison,1,0
Barrett-Moore,1,0
Barrett-Watson,1,0
Barron Group,1,0
Barron Inc,1,0
Barron LLC,2,0
"Barron, Pittman and Henry",1,0
Barry Inc,1,0
Barry-Schmidt,1,0
Bartlett Inc,1,0
Bartlett Ltd,2,0
"Bartlett, Booth and Wells",1,0
Bartlett-Nelson,1,0
Bartlett-Porter,1,0
Bartlett-Rodriguez,1,0
"Barton, Smith and Moore",1,0
Barton-Campbell,1,0
Barton-Sanchez,1,0
Barton-Smith,1,0
Barton-Vasquez,1,0
Barton-Watts,1,0
Bass Group,1,0
Bass Inc,1,1
"Bass, Webster and Thomas",1,0
Bass-Jones,1,0
Bates Ltd,1,0
"Bates, Cook and Freeman",1,0
"Bates, Hernandez and Richards",1,0
"Bates, Martinez and Torres",1,0
"Bates, Young and Smith",1,0
Bates-Carlson,1,0
Bates-Frazier,1,0
Bates-Fritz,1,0
Bates-Stevenson,1,0
Bauer LLC,1,0
Bauer PLC,1,0
"Bauer, Davidson and Perez",1,0
"Bauer, Davis and Johnson",1,0
"Bauer, Diaz and Gregory",1,0
"Bauer, Miller and Copeland",1,0
Bauer-Davis,1,0
Bauer-Miller,1,0
Bauer-Taylor,1,0
Bautista-Garcia,1,0
Bautista-Savage,1,0
Bautista-Wagner,1,0
Baxter Group,1,0
Baxter Ltd,2,0
Baxter and Sons,1,0
"Baxter, Adams and Kelly",1,0
Bay of Bengal's Anchor,30,1
Bay of Bengal's Export,24,1
Bay of Bengal's GmbH,4,1
Bay of Bengal's Ltd. Liability Co,1,2
Bay of Bengal's Marine life CJSC Shipping,1,1
Bay of Bengal's S.A. de C.V.,1,1
Bay of Bengal's and,1,0
Beach Bums A/S Marine ecology,2,1
Beach Bums Cargo ship,2,1
Beach Bums Corporation Transit,2,1
Beach Bums LLC Shipping,3,1
Beach Bums SE Logistics,3,1
Beachcomber's Bounty Plc Worldwide,1,1
Beachcomber's Bounty S.p.A. Manatee,2,1
Beachcombers Cod Corp Brothers,1,1
Beachcombers GmbH & Co. KG,2,1
Beachcombers NV Marine ecology,1,1
Beachcombers Nautical Plc Carriers,23,1
Bean and Sons,1,0
Bean-Hubbard,1,0
"Beard, Daniels and Vargas",1,0
Beard-Knox,1,0
"Beasley, Johnson and Burton",1,0
"Beasley, Miller and Martin",1,0
Beck Ltd,1,0
Beck PLC,1,0
Beck-Morrison,1,0
Becker PLC,1,0
"Becker, Clark and Padilla",1,0
"Becker, Mccarty and Martin",1,0
"Becker, Williams and Mitchell",1,0
Belgian Cod AB Holdings,2,1
Belgian Cod CJSC Express,1,1
Belgian Cod Incorporated Shark,1,1
Belgian Cod Ltd. Corporation,2,1
Belgian Lobster Coral Reef OJSC Transit,8,1
Belgian Lobster Ges.m.b.H. Marine life,2,1
Belgian Lobster Line Beach,1,1
Belgian Lobster Ltd. Liability Co and Son's,1,0
Belgian Scallop Charter Boat  Inc Freight,5,1
Belgian Scallop Delivery Brine,1,1
Belgian Scallop Limited Liability Company,2,1
Belgian Scallop Ltd. Liability Co,1,1
Belgian Scallop ОАО United,1,0
Belgian Shrimps AS Freight,2,0
Belgian Shrimps Hull Sagl Industrial,1,1
Belgian Shrimps Plc Consultants,2,1
Bell Group,3,0
Bell PLC,1,0
Bell and Sons,1,1
"Bell, Gray and Ellis",1,0
"Bell, Hernandez and Barrera",1,0
"Bell, Martinez and Long",1,0
"Bell, Smith and Morales",1,0
"Bell, Stevens and Small",1,0
Bell-Barnett,1,0
Bell-Brown,1,0
Bell-Drake,1,0
Bell-Ford,1,0
Bell-Freeman,1,0
Bell-Gonzales,1,0
Bell-Henderson,1,1
Bell-Nguyen,1,0
"Beltran, Griffith and Miller",1,0
Beltran-Caldwell,1,0
Bender PLC,1,0
"Bender, Espinoza and Oconnell",1,0
Benguela Current   Ltd. Corporation Family,3,0
Benguela Current   Ltd. Liability Co Investment,1,1
Benguela Current   Marine ecology Ocean,5,1
Benitez LLC,1,0
"Benitez, Ruiz and Simmons",1,0
Benitez-Cordova,1,0
Benitez-Espinoza,1,0
Benjamin Group,1,0
"Benjamin, Avila and Leonard",1,0
"Benjamin, Johnson and Tucker",1,0
Bennett and Sons,2,1
"Bennett, Blackburn and Obrien",1,0
"Bennett, Hall and Jones",1,0
"Bennett, Lewis and Frey",1,0
"Bennett, Richardson and Dudley",1,0
"Bennett, Rodriguez and Conner",1,0
"Bennett, Strong and Parks",1,0
"Bennett, Williams and Castaneda",1,0
Bennett-Cummings,1,0
Bennett-Rodriguez,1,0
Bennett-Smith,1,0
Benson Inc,1,0
Benson LLC,1,0
Benson and Sons,1,0
"Benson, Adams and Clark",1,0
"Benson, Sandoval and Johnson",1,0
"Benson, Smith and Willis",1,0
Benson-Ali,1,0
Benson-Greer,1,0
Benson-Torres,1,0
"Bentley, Anderson and Campbell",1,0
"Bentley, Hernandez and Camacho",1,0
"Bentley, Williams and West",1,0
Bentley-Short,1,0
Benton Group,1,0
Benton Inc,1,0
Benton LC Cruise ship,2,1
Benton Limited Liability Company,30,2
Benton and Sons,1,0
"Benton, Clark and Henderson",1,0
Benton-English,1,0
Benton-Jones,1,0
Benton-Ponce,1,0
"Berg, Buckley and Cox",1,0
Berger Inc,2,0
Berger PLC,1,0
"Berger, Martinez and Bullock",1,0
"Berger, Roach and Douglas",1,0
Bernard PLC,1,0
Berry Inc,1,1
Berry LLC,1,1
Berry PLC,1,0
"Berry, Hill and Moreno",1,0
"Berry, Snyder and Barrett",1,0
Berry-Gaines,1,0
Berry-Martinez,1,0
Berry-Richardson,1,0
Berry-Thompson,1,0
Best and Sons,1,0
"Best, Bernard and Ellis",1,0
"Best, Lopez and Roach",1,0
Big Sulphur  Ges.m.b.H. Starfish,4,1
Big Sulphur  Incorporated Holdings,4,1
Big Sulphur  Ltd. Corporation,2,1
Big Sulphur  S.A. de C.V.,8,1
Bihar   Brackish SE Overseas,6,1
Bihar   Ltd. Corporation Brothers,2,1
Bihar   SRL Marine sanctuary,11,1
Black Group,1,0
Black Ltd,1,0
Black Sea  Corp Forwading,2,1
Black Sea  Inc Freight,7,1
Black Sea  Kga Marine conservation,2,1
Black Sea  Ltd. Liability Co,3,1
Black Sea Anchovy Express,4,1
Black Sea Anchovy Navigation GmbH Industrial,4,1
Black Sea Anchovy Oyj Transport,1,1
Black Sea Anchovy Sp,1,1
Black Sea Carp BV,2,1
Black Sea Carp Company,4,1
Black Sea Carp Inc & Son's,2,1
Black Sea Carp LC Cargo,1,1
Black Sea Carp Oyj,1,1
Black Sea Carp S.p.A.,2,1
Black Sea Carp Sagl Freight,2,1
Black Sea Tuna Corporation,1,2
Black Sea Tuna Forwading Trout,2,1
Black Sea Tuna Ges.m.b.H.,4,1
Black Sea Tuna Lock,1,1
Black Sea Tuna NV Seagull,3,1
Black Sea Tuna Whale,3,1
"Black, Mathews and Castillo",1,0
"Black, Moore and Leach",1,0
"Black, Sanchez and Reynolds",1,0
Black-Gamble,1,0
"Blackburn, Smith and Jackson",1,0
Blackwell PLC,1,0
Blair Group,1,0
Blair Inc,1,0
"Blair, Rivas and White",1,0
"Blake, Holloway and Michael",1,0
